130000000a	Sálmarnir
13870e004a	því að hann réttir hlut þjóðar sinnar og miskunnar þjónum sínum.
13870f0048	Heiðingjarnir tilbiðja skurðgoð úr gulli og silfri, handaverk manna
1387100025	– mállaus og sjónlaus skurðgoð,
1387110022	sem hvorki heyra né draga andann.
138712003b	Smiðir þeirra líkjast þeim og þeir sem tilbiðja þau.
1387130046	Ísrael, lofa þú Drottin! Æðstuprestar Arons, vegsamið nafn hans,
138714006c	og einnig þið prestar af Levíætt. Já, lofið nafn hans, öll þið sem treystið honum og óttist hann.
1387150052	Þið íbúar Jerúsalem, lofið Drottin, hann sem býr í Jerúsalem! Hallelúja!
138801004c	Þakkið Drottni, því að hann er góður, miskunn hans varir að eilífu!
1388020042	Þakkið Guði guðanna, því að miskunn hans varir að eilífu.
1388030046	Þakkið Drottni drottnanna, því að miskunn hans varir að eilífu.
1388040052	Lofið hann sem einn gjörir furðuverk, því að miskunn hans varir að eilífu.
138805004c	Lofið hann sem skapaði himininn, því að miskunn hans varir að eilífu.
1388060052	Lofið hann sem aðskildi höf og lönd, því að miskunn hans varir að eilífu.
1388070058	Lofið hann sem skapaði ljósgjafa himinsins, því að miskunn hans varir að eilífu.
1388080048	Sólina til að ráða deginum, því að miskunn hans varir að eilífu
138809005f	og tunglið og stjörnurnar til að ráða um nætur, því að miskunn hans varir að eilífu.
13880a005f	Lofið Guð sem laust frumburði Egypta, því að miskunn hans við Ísrael varir að eilífu.
13880b003f	Hann leiddi þá út með mætti sínum og sinni voldugu hendi,
13880c0036	því að miskunn hans við Ísrael varir að eilífu.
13880d003b	Lofið Drottin sem opnaði þeim leið gegnum Rauðahafið,
13880e002d	því að miskunn hans – varir að eilífu,
13880f005f	en drekkti í hafinu hersveitum faraós, því að miskunn hans við Ísrael varir að eilífu.
138810005a	Lofið hann sem leiddi lýð sinn yfir auðnina, því að miskunn hans varir að eilífu.
1388110066	Lofið hann sem frelsaði lýð sinn undan voldugum konungum, því að miskunn hans varir að eilífu
1388120068	og laust þá til dauða, þessa óvini Ísraels, því að miskunn hans við Ísrael varir að eilífu:
138813004f	Síhon, Amoríta-konung, því að miskunn Guðs við Ísrael varir að eilífu
1388140056	– og Óg, konung í Basan – því að miskunn hans við Ísrael varir að eilífu.
1388150067	Guð gaf Ísrael lönd þessara konunga til eilífrar eignar, því að miskunn hans varir að eilífu.
138816006b	Já, þau skyldu verða varanleg gjöf til Ísrael, þjóns hans, því að miskunn hans varir að eilífu.
138817004b	Hann minntist okkar í eymd okkar, því að miskunn hans varir að eilífu
1388180050	og frelsaði okkur frá óvinum okkar, því að miskunn hans varir að eilífu.
1388190052	Hann gefur fæðu öllu því sem lifir, því að miskunn hans varir að eilífu.
13881a004e	Já, færið Guði himnanna þakkir, því að miskunn hans varir að eilífu!
138901004e	Við sátum á bökkum Babylonsfljóts og minntumst Jerúsalem – og grétum.
138902004e	Gígjurnar höfum við lagt til hliðar, hengt þær á greinar pílviðarins.
1389030024	Hvernig eigum við að geta sungið?
1389040051	Samt heimta kúgarar okkar söng, vilja að við syngjum gleðiljóð frá Síon!
138905003d	Ef ég gleymi þér Jerúsalem, þá visni mín hægri hönd!
1389060063	Ef ég elska annað umfram Jerúsalem, þá sé mér mátulegt að missa málið og tapa röddinni.
138907008a	Ó, Drottinn, gleymdu ekki orðum Edómíta, daginn þegar Babyloníumenn hernámu Jerúsalem. „Rífið allt til grunna!“ æptu þeir.
138908008c	Þú Babýlon, ófreskja eyðingarinnar, þú munt sjálf verða lögð í rúst. Lengi lifi þeir sem eyða þig – þig sem eyddir okkur.
1389090042	Og heill þeim sem tekur ungbörn þín og slær þeim við stein!
138a010062	Drottinn, ég þakka þér af öllu hjarta! Ég vil lofsyngja þér í áheyrn englanna á himnum.
138a0200a4	Ég vil falla fram fyrir þínu heilaga musteri, þakka þér elsku þína og trúfesti, og loforð þín sem þú hefur innsiglað með þínu mikilfenglega nafni.
138a03004c	Þegar ég bið, þá heyrir þú bænir mínar, styrkir mig og hughreystir.
138a04005d	Konungar jarðarinnar skulu þakka þér, Drottinn, því að allir heyra þeir rödd þína.
138a050049	Já, þeir skulu syngja um verk Drottins, því að mikil er dýrð hans.
138a06006a	En þótt Drottinn sé mikill, þá lýtur hann að hinum lítilmótlegu, en hrokafullir halda sig fjarri.
138a070093	Þótt ég sé umvafinn erfiðleikum, muntu sjá um að allt fari vel. Þú réttir fram hnefann gegn óvinum mínum. Kraftur þinn mun frelsa mig.
138a08009a	Drottinn mun leysa úr öllum mínum málum – því að Drottinn, miskunn þín varir að eilífu. Yfirgef mig ekki, því að ég er verk handa þinna.
138b01003d	Drottinn, þú rannsakar mig út og inn og veist allt um mig.
138b020058	Hvort ég sit eða stend, það veist þú. Og þú lest hugsanir mínar úr fjarlægð!
138b030098	Þú veist hvert ég stefni og þekkir langanir mínar. Og hvort sem ég geng eða ligg, þá athugar þú það. Þú veist öllum stundum hvar ég er.
138b04003e	Þú þekkir orðin á tungu minni áður en ég opna munninn!
138b050063	Þú bæði fylgir mér og ferð á undan mér, leggur hönd þína á höfuð mitt og blessar mig.
138b060040	Þetta er stórkostlegt! Já, næstum of gott til að vera satt!
138b070048	Hvert get ég farið frá anda þínum eða flúið frá augliti þínu?
138b08004a	Fari ég til himna, þá ertu þar, til dánarheima, þá ertu líka þar!
138b090048	Ef ég svifi á skýjum morgunroðans og settist við fjarlæga strönd,
138b0a004b	einnig þar mundi hönd þín leiða mig og ég finna styrk þinn og vernd.
138b0b0065	Og þótt ég reyndi að læðast frá þér inn í myrkrið, þá myndi nóttin lýsa eins og dagur!
138b0c0052	Því að myrkrið hylur ekkert fyrir Guði, dagur og nótt eru jöfn fyrir þér.
138b0d004c	Öll líffæri mín hefur þú skapað, ofið þau í kviði móður minnar.
138b0e00a7	Þökk, að þú skapaðir mig eins undursamlega og raun ber vitni! Þetta er dásamlegt um að hugsa! Handaverk þín eru stórkostleg – það er mér alveg ljóst.
138b0f0039	Þú varst til staðar þegar ég var myndaður í leyni.
138b1000ba	Þú þekktir mig þegar ég var fóstur í móðurkviði og áður en ég sá dagsins ljós hafðir þú ákvarðað alla mína ævidaga – sérhver dagur var skráður í bók þína!
138b110051	Hugsanir þínar, ó Guð, eru mér torskildar, en samt eru þær stórkostlegar!
138b1200c8	Ef ég reyndi að telja þær, þá yrði það mér ofviða því að þær eru fleiri en sandkorn á sjávarströnd! Já, ég mundi vakna eins og af draumi, en hugur minn, hann væri enn hjá þér!
138b13005a	Vissulega munt þú, Guð, útrýma níðingunum. Já, burt með ykkur, þið morðingjar!
138b140044	Þeir guðlasta og hreykja sér upp gegn þér – hvílík heimska!
138b150065	Drottinn, ætti ég ekki að hata þá sem þig hata? Og ætti ég ekki að hafa viðbjóð á þeim?
138b160041	Jú, ég hata þá, því að þínir óvinir eru mínir óvinir.
138b17003f	Prófaðu mig Guð. Rannsakaðu hjarta mitt og hugsanir mínar.
138b180063	Sýndu mér það í fari mínu sem hryggir þig og leiddu mig svo áfram veginn til eilífs lífs.
138c010055	Ó, Drottinn, frelsaðu mig frá vondum mönnum. Verndaðu mig gegn ofbeldismönnunum
138c020034	sem sitja á svikráðum alla daga og vekja ófrið.
138c03002e	Orð þeirra eru eins og eitruð höggormsbit.
138c040034	Varðveittu mig gegn ofbeldi þeirra og svikráðum.
138c050098	Þessir ofríkismenn hafa lagt gildru fyrir mig, sett út snöru sína. Þeir bíða þess að geta kastað yfir mig neti, flækja mig í möskva sína.
138c060042	Ó, Drottinn, þú ert minn Guð! Hlustaðu á grátbeiðni mína!
138c07002c	Láttu ekki svikráð níðinganna heppnast.
138c080036	Láttu þá ekki ná árangri eða hreykja sér hátt.
138c09002e	Svikráð þeirra komi þeim sjálfum í koll!
138c0a004f	Eldsglóðum rigni yfir þá. Steyptu þeim í gjár sem þeir komast ekki úr.
138c0b0054	Láttu lygara einskis ávinnings njóta í landi okkar, en refsaðu þeim í skyndi.
138c0c0073	Drottinn mun örugglega rétta hlut fólks sem þolað hefur ofsóknir þeirra, hann mun flytja mál hinna snauðu.
138c0d0047	Hinir guðhræddu þakka þér. Þeir fá að lifa í nálægð þinni.
138d010072	Drottinn, þú hefur hlustað á bæn mína, svaraðu mér fljótt! Heyr þegar ég hrópa til þín eftir hjálp.
138d020051	Líttu á bæn mína sem kvöldfórn, eins og reykelsi sem stígur upp til þín.
138d03004e	Hjálpaðu mér, Drottinn, að gæta munns míns – innsiglaðu varir mínar!
138d04009c	Frelsaðu mig frá löngun í hið illa. Forðaðu mér frá félagsskap við syndara og þeirra vondu verkum. Láttu mig sneiða hjá svallveislum þeirra.
138d0500aa	Hirting frá guðhræddum manni er mér til góðs – hún er áhrifaríkt læknislyf! Ég vil ekki hlusta á hrós vondra manna. Ég bið gegn illsku þeirra og svikum.
138d060052	Þegar foringjar þeirra fá sinn dóm, þegar þeim verður hrint fram af kletti,
138d070054	þá munu menn þessir hlusta á viðvörun mína og skilja að ég vildi þeim vel.
138d080065	Drottinn, ég horfi til þín í von um hjálp. Þú ert skjól mitt. Láttu þá ekki tortíma mér.
138d090024	Forðaðu mér frá gildrum þeirra.
138d0a0042	Hinir óguðlegu falli í eigin net, en ég sleppi heill á húfi.
138e01001e	Ég bið og bið til Drottins,
138e02001e	stöðugt grátbæni ég hann.
138e03005a	Ég er hræddur og ráðvilltur. Þú einn þekkir leiðina framhjá gildrum óvina minna.
138e04005b	Enginn maður hugsar hlýtt til mín. Hvergi er góð ráð að fá. Öllum er sama um mig.
138e05007f	Því bið ég til Drottins og segi: „Drottinn, þú einn ert skjól mitt á jörðu, ég er hvergi öruggur nema hjá þér.
138e060087	Heyrðu hróp mitt því að ég er mjög þjakaður. Frelsaðu mig frá þeim sem ofsækja mig, því að þeir eru mér yfirsterkari.
138e070090	Leiddu mig úr þessum mikla vanda og þá mun ég lofa þig. Hinir guðhræddu munu þyrpast til mín og fagna með mér yfir hjálp þinni.“
138f010070	Drottinn, heyrðu bæn mína. Svaraðu ákalli mínu, því að þú ert réttlátur og stendur við orð þín.
138f02004f	Leiddu mig ekki fyrir dóm, því að enginn er réttlátur frammi fyrir þér.
138f030097	Óvinir mínir eltu mig og náðu mér. Þeir slógu mig til jarðar og drógu mig inn í myrkrið – ég er eins og þeir sem gengnir eru til grafar.
138f040028	Ég eygi enga von, er lamaður af ótta.
138f050041	Ég hugsa um máttarverk þau sem þú vannst fyrir langa löngu.
138f060058	Ég leita þín. Mig þyrstir eftir þér eins og örþrota land, skrælnað af þurrki.
138f07008c	Komdu skjótt, Drottinn og bjargaðu mér, því að ég er að örmagnast! Snúðu ekki við mér bakinu, því að þá væri úti um mig.
138f08009a	Sýndu mér miskunn þína að morgni, því að þér treysti ég. Sýndu mér þann veg er ég á að ganga, því að bæn mín er beðin í einlægni.
138f090052	Frelsaðu mig undan óvinum mínum, Drottinn minn, ég vil flýja í skjól þitt.
138f0a0070	Hjálpaðu mér að gera vilja þinn, því að þú ert minn Guð. Þinn góði andi leiði mig um réttan veg.
138f0b0096	Drottinn, láttu mig lífi halda og leystu mig úr öllum þessum nauðum, því að þú ert réttlátur og veist að ég hef ekkert til saka unnið.
138f0c008c	Ég er þjónn þinn. Þú elskar mig og ert mér svo góður! Ryð þú burt þessum óvinum mínum og láttu þá hverfa sem ofsækja mig.
139001006e	Lofaður sé Drottinn! Hann er bjargið sem líf mitt er byggt á! Hann gefur mér kraft og leikni í bardaga.
139002007d	Hann er miskunn mín. Hann er vígi mitt, borg mín og hjálpari, skjöldur minn og athvarf. Hann leggur þjóðir undir mig.
1390030085	Drottinn, hvers virði er maðurinn að þú ómakir þig og minnist hans? Hvers vegna skyldir þú yfirleitt skipta þér af fólki?
139004004e	Því að maðurinn er eins og vindblær, dagar hans eins og hverfandi skuggi.
139005006b	Drottinn, sveigðu himininn og stígðu niður! Þegar þú tyllir þér á fjöllin þá rýkur úr þeim.
139006004e	Láttu eldingar leiftra, – skjóttu örvum þínum og tvístraðu óvinunum!
1390070071	Réttu hönd þína niður og frelsaðu mig, dragðu mig upp úr hinum djúpu vötnum, undan ofurvaldi óvinanna.
1390080052	Munnur þeirra er fullur af svikum og með hægri hönd sinni innsigla þeir lygi.
1390090054	Ég vil syngja þér nýjan söng, ó Guð, og leika undir á tístrengjaða hörpu,
13900a0065	því að þú veitir konungum okkar sigur. Þú frelsar þjón þinn Davíð undan sverði dauðans.
13900b0054	Bjargaðu mér! Frelsaðu mig undan óvinum þessum, þeir bæði ljúga og svíkja.
13900c0048	Nú vil ég lýsa landinu þar sem Drottinn er Guð – hamingjulandinu!
13900d0080	Þar eru synirnir hraustir og stæltir eins og þróttmikil tré. Dæturnar fagrar og prúðar eins og úthöggnar hallarsúlur.
13900e008b	Hlöðurnar fullar af alls konar afurðum. Hjarðir þúsunda sauða liðast um hagana. Uxarnir eru klyfjaðir og ekkert skarð í múrnum.
13900f008b	Friður hvert sem litið er, enginn maður í útlegð og glæpir horfnir af strætunum. Já, sæl er sú þjóð sem á Drottin að Guði.
139101002e	Ég vil lofa þig, þú Guð minn og konungur,
1391020039	og vegsama nafn þitt hvern einasta dag, já að eilífu!
1391030058	Mikill er Drottinn! Lofið hann án afláts! Dýrð hans er meiri en við fáum skilið!
1391040044	Sérhver kynslóð fræðir börn sín um hans mörgu dásemdarverk.
1391050048	Ég vil íhuga dýrð þína og vegsemd, glæsileik þinn og kraftaverk.
1391060042	Undur þín eru á allra vörum, ég vil tala um stórvirki þín.
139107004e	Öllum er ljúft að segja frá kærleika þínum, syngja um réttlæti þitt.
139108004e	Náðugur og miskunnsamur er Drottinn, seinn til reiði og fullur góðvildar.
1391090055	Drottinn er öllum góður og miskunn hans hvílir yfir öllu sem hann hefur skapað.
13910a0043	Öll sköpunin þakkar þér Drottinn, og þjóð þín lofar þig.
13910b0046	Þau segja frá dýrð ríkis þíns, og tala um kraft þinn og mátt.
13910c004f	Þau víðfrægja mikilleik þinn og máttarverk – dýrð konungdóms þíns.
13910d005b	Því að á ríki þínu er enginn endir, veldi þitt nær frá kynslóð til kynslóðar.
13910e0047	Drottinn reisir við hina föllnu og styður þá sem ætla að hníga.
13910f0062	Allra augu mæna á þig eftir hjálp, því að þú gefur þeim fæðu þeirra á réttum tíma.
139110002f	Þú uppfyllir þarfir þeirra og blessar þá.
1391110040	Drottinn er réttlátur og miskunnsamur í öllu sem hann gerir.
1391120037	Hann er nálægur öllum sem ákalla hann í einlægni.
1391130066	Hann uppfyllir þarfir þeirra sem óttast hann og elska. Hann heyrir hróp þeirra og hjálpar þeim.
1391140047	Hann verndar alla þá sem elska hann, en útrýmir öllum óguðlegum.
139115005d	Ég vil lofa Drottin! Og þið öll, vegsamið hans heilaga nafn á meðan ævi ykkar endist.
139201002c	Dýrð sé Guði! Já, ég vil vegsama hann!
139202004b	Ég vil lofa hann á meðan ég lifi, vegsama hann fram á síðustu stund.
1392030064	Reiddu þig ekki á hjálp valdsmanna, því að þeir falla og ekkert verður úr aðstoð þeirra.
139204004e	Þeir munu deyja og andi þeirra líður burt, áform þeirra verða að engu.
1392050065	En sæll er sá maður sem reiðir sig á hjálp Guðs, Guðs Jakobs, sem vonar á Drottin, Guð sinn
139206007b	– þann Guð sem skapaði himin og jörð og hafið og allt sem í því er. Hann er sá Guð sem óhætt er að treysta!
139207005a	Hann leitar réttar fátækra og kúgaðra og gefur hungruðum brauð. Hann frelsar fanga,
1392080062	opnar augu blindra, lyftir okinu af þeim sem eru að bugast. Drottinn elskar þá sem gera rétt.
1392090089	Hann verndar útlendingana sem sest hafa að í landinu og gætir réttinda ekkna og einstæðinga, en ónýtir ráðabrugg vondra manna.
13920a0066	Drottinn mun ríkja að eilífu. Jerúsalem, veistu að Drottinn er konungur að eilífu?! Hallelúja!
1393010052	Hallelúja! Já, lofið Drottin! Það er gott að lofa Drottin! Indælt og rétt!
1393020040	Hann er að endurreisa Jerúsalem og flytja hina herleiddu heim.
139303003d	Hann reisir upp hina niðurbeygðu og bindur um sár þeirra.
1393040044	Hann þekkir fjölda stjarnanna, já og hverja fyrir sig með nafni!
139305004e	Mikill er Drottinn! Vald hans er stórkostlegt! Þekking hans er takmarkalaus.
139306003d	Drottinn styður auðmjúka, en varpar illmennum til jarðar.
1393070039	Syngið honum þakkarljóð, lofið Guð með hörpuleik.
1393080051	Hann fyllir himininn skýjum, gefur steypiregn og klæðir fjöllin grænu grasi.
1393090046	Hann fæðir hin villtu dýr og hrafnarnir krunka til hans eftir æti.
13930a005f	Í hans augum kemst sprettharður foli varla úr sporunum og máttur mannsins má sín lítils.
13930b0054	En hann gleðst yfir þeim sem elska hann og reiða sig á kærleika hans og gæsku.
13930c0036	Lofa þú hann, Jerúsalem! Vegsama Guð þinn, Síon!
13930d0049	Því að hann hefur gert múra þína öfluga og blessað börnin þín.
13930e0052	Hann lætur frið haldast í landinu og fyllir hlöður þínar af úrvals hveiti.
13930f0050	Hann sendir boð sín til jarðar, skipanir hans berast hratt eins og vindurinn.
1393100050	Skjannahvít mjöllin er frá honum komin og hrímið sem glitrar á jörðinni.
1393110042	Haglélið er líka hans verk og frostið sem bítur í kinnarnar.
1393120050	En síðan sendir hann hlýjan vorvind, snjórinn þiðnar og árnar ryðja sig.
1393130034	Hann kunngjörði Ísrael lögmál sitt og ákvæði
1393140085	– það hefur hann ekki gert við neina aðra þjóð, nei, þeim kennir hann ekki fyrirmæli sín. Hallelúja! Dýrð sé Drottni!
1394010046	Þið sem búið á himnum, lofið Drottin! Lofið hann í upphæðum!
1394020034	Lofið hann allir englar, allar hersveitir himnanna.
1394030036	Lofið hann sól og tungl og allar lýsandi stjörnur.
1394040040	Lofið hann hæstu himnar og þú dögg er svífur um háloftin.
1394050065	Allt sem hann hefur skapað lofi nafn hans, því að þegar hann talaði, þá varð það allt til,
1394060058	hann fékk þeim stað um aldur og ævi, setti þeim lögmál sem þau fá ekki brotið.
1394070046	Lofið Drottin einnig á jörðu, líka þið skepnur í hafdjúpunum.
1394080053	Eldur og hagl, snjór, regn, vindur og veður öll, – allt hlýði það Drottni.
139409004e	Allt skal þetta lofa Drottin: fjöll og hæðir, ávaxtatré sem önnur tré,
13940a0029	villidýr og búfé, höggormar og fuglar
13940b0036	konungar og allar þjóðir, höfðingjar og dómarar,
13940c0027	piltar og stúlkur, aldraðir og börn.
13940d0073	Sameiginlega skulu þau lofa Drottin, því að hann einn er þess verður og dýrð hans er ofar himni og jörðu.
13940e00a9	Hann hefur gert þjóð sína volduga. Heldur uppi heiðri hinna guðhræddu – lýðs Ísraels, þjóðarinnar sem honum stendur næst. Hallelúja! Dýrð sé Drottni!
1395010058	Hallelúja! Lofið Drottin! Syngið honum nýjan söng. Lofsyngið honum öll þjóðin.
1395020069	Ó, Ísrael, gleð þig yfir skapara þínum. Þið sem búið í Jerúsalem, fagnið yfir konungi ykkar!
139503004d	Lofið nafn hans með gleðidansi og leikið fyrir hann á bumbur og gígjur.
1395040042	Drottinn hefur unun af lýð sínum. Hann frelsar hina auðmjúku.
1395050048	Hinir trúuðu gleðjist með sæmd og syngi fagnandi í hvílum sínum.
139506001e	Lofið hann, þið fólk hans!
1395070044	Framkvæmið refsingu hans á þjóðunum með tvíeggjuðu sverði.
1395080056	Setjið konunga þeirra og fyrirmenn í járn og fullnægið á þeim skráðum dómi.
1395090031	Drottinn er vegsemd þjóðar sinnar. Hallelúja!
139601004f	Hallelúja! Lofið Drottin! Lofið hann í musteri hans, lofið hann á himnum.
139602004f	Lofið hann fyrir máttarverk hans. Lofið hann fyrir mikilleik hátignar hans.
1396030033	Lofið hann með lúðrablæstri, hörpu og gígju.
139604002e	Lofið hann með strengjaleik og hjarðpípum.
139605004b	Lofið hann með hljómandi skálabumbum, já og með hvellum skálabumbum!
1396060041	Allt sem andardrátt hefur lofi Drottin! Einnig þú! Hallelúja!
2800000007	Matteus
280101004b	Þessir eru forfeður Jesú Krists, afkomanda Davíðs konungs og Abrahams:
280102005c	Abraham var faðir Ísaks. Ísak var faðir Jakobs. Jakob var faðir Júda og bræðra hans.
280103006e	Júda var faðir Peresar og Sera (móðir þeirra hét Tamar). Peres var faðir Esroms. Esrom var faðir Rams,
2801040052	en Ram var faðir Ammínadabs og sonur hans var Nakson. Nakson var faðir Salmons.
2801050049	Salmon var faðir Bóasar (kona hans var Rut). Óbeð var faðir Ísaís,
280106005e	en Ísaí faðir Davíðs konungs og Davíð faðir Salómons (móðir hans var ekkja Úría).
280107004e	Salómon var faðir Róbóams og sonur hans var Abía. Abía var faðir Asafs.
2801080050	Asaf var faðir Jósafats. Jósafat var faðir Jórams og Jóram faðir Ússía.
280109004d	Ússía var faðir Jótams, en sonur hans var Akas og Esekía var sonur hans.
28010a004c	Esekía var faðir Manasse, en hann var faðir Amoss og Amos faðir Jósía.
28010b005d	Jósía var faðir Jekonja og bræðra hans (þeir fæddust í herleiðingunni til Babýlon).
28010c0056	Eftir herleiðinguna: Jekonja var faðir Sealtíels, Sealtíel var faðir Serúbabels,
28010d0053	Serúbabel faðir Abíúds og Abíúd faðir Eljakíms. Eljakím var faðir Asórs,
28010e004c	en sonur hans var Sadók. Og Sadók var faðir Akíms, Akím faðir Elíúds
28010f004f	og Elíúd faðir Eleasars. Eleasar var faðir Mattans, Mattan faðir Jakobs og
280110004a	Jakob faðir Jósefs en hann var eiginmaður Maríu, móður Jesú Krists.
28011100c2	Þetta eru fjórtán ættliðir frá Abraham til Davíðs konungs, fjórtán ættliðir frá Davíð fram að herleiðingunni og einnig fjórtán ættliðir frá herleiðingunni fram til Krists.
28011200b0	Aðdragandinn að fæðingu Jesú var á þessa leið: María móðir hans var trúlofuð Jósef. Hún varð þunguð af völdum heilags anda meðan hún var enn ósnortin mey.
28011300a1	Jósef, unnusti hennar, sem var mjög sómakær maður, ákvað þá að slíta trúlofuninni í kyrrþey, því að hann vildi ekki valda henni opinberri smán.
2801140102	Eitt sinn er hann var að íhuga þetta á andvökunóttu, sofnaði hann og dreymdi að engill stóð hjá honum og sagði: „Jósef, sonur Davíðs, hikaðu ekki við að kvænast Maríu, því að barnið sem hún gengur með, er getið af heilögum anda.
2801150093	Hún mun eignast son, og þú skalt láta hann heita Jesú (sem þýðir Guð frelsar), því að hann mun frelsa þjóð sína frá syndum hennar.
2801160036	Þannig mun rætast það sem spámaður Guðs sagði:
2801170097	„Takið eftir! Meyjan mun þunguð verða! Hún mun fæða son og hann verða kallaður „Immanúel“ (en það þýðir Guð er með okkur)“.“
280118006b	Þegar Jósef vaknaði, ákvað hann að gera eins og engillinn hafði sagt honum og ganga að eiga Maríu,
280119006d	þau höfðu þó ekki kynmök fyrr en eftir að sonurinn var fæddur. Og Jósef gaf drengnum nafnið Jesús.
28020100a5	Jesús fæddist í bænum Betlehem í Júdeu á valdatímum Heródesar konungs. Um það leyti komu stjörnufræðingar til Jerúsalem frá Austurlöndum og spurðu:
280202009a	„Hvar er nýfæddi Gyðingakonungurinn? Við höfum séð stjörnu hans austur í löndum og nú erum við komnir til þess að sýna honum lotningu.“
2802030074	Heródes konungur varð óttasleginn er hann heyrði þetta, og alls kyns sögusagnir komust á kreik í Jerúsalem.
2802040080	Heródes kallaði því saman trúarleiðtoga Gyðinga og spurði: „Hafa spámennirnir sagt hvar Kristur eigi að fæðast?“
2802050061	„Já,“ svöruðu leiðtogarnir, „í Betlehem, því að þannig skrifaði Míka spámaður:
280206009f	„Þú Betlehem litla, þú ert ekki einhver þýðingarlaus smábær í Júdeu, því frá þér mun koma höfðingi sem annast þjóð mína, Ísrael“.“
28020700b1	Heródes sendi þá stjörnufræðingunum leynileg boð um að finna sig, og á þeim fundi fékk hann að vita hvenær þeir hefðu fyrst séð stjörnuna. Síðan sagði hann:
28020800bf	„Farið til Betlehem og leitið að barninu, og þegar þið hafið fundið það, skuluð þið koma aftur og láta mig vita hvar það er, svo að ég geti einnig veitt því lotningu!“
28020900b2	Að þessum viðræðum loknum héldu stjörnufræðingarnir aftur af stað. Og sjá! Stjarnan birtist þeim á ný og fór fyrir þeim uns hún staðnæmdist loks yfir Betlehem.
28020a0020	Gleði þeirra var takmarkalaus!
28020b00c0	Þeir gengu inn í húsið þar sem María og barnið voru, krupu á kné frammi fyrir því og tilbáðu það. Síðan tóku þeir upp farangur sinn og gáfu barninu gull, reykelsi og myrru.
28020c0092	Á heimleiðinni komu þeir ekki við í Jerúsalem til þess að hitta Heródes, því að Guð hafði sagt þeim í draumi að fara aðra leið.
28020d012f	Þegar þeir voru farnir, dreymdi Jósef að hann sæi engil frá Drottni sem sagði: „Flýðu til Egyptalands og taktu með þér barnið og móður þess, því að Heródes konungur sækist eftir lífi barnsins. Vertu síðan um kyrrt í Egyptalandi þar til ég segi þér að snúa heim aftur.“
28020e0051	Jósef lagði af stað til Egyptalands með barnið og Maríu þessa sömu nótt.
28020f0082	Þar dvöldust þau uns Heródes konungur lést, en þá rættust orð spámannsins: „Ég kallaði son minn frá Egyptalandi.“
280210019c	Heródes varð æfur af reiði þegar hann komst að því að stjörnufræðingarnir höfðu brugðist honum og sendi þegar í stað alla hermenn til Betlehem. Hann gaf þeim skipun um að drepa alla drengi, tveggja ára og yngri, sem ættu heima þar í nágrenninu. Þetta gerði Heródes vegna þess að stjörnufræðingarnir höfðu sagt honum að þeir hefðu fyrst séð stjörnuna tveimur árum áður.
2802110064	Jeremía spámaður hafði sagt fyrir um þennan hryllilega verknað Heródesar með þessum orðum:
2802120092	„Í Rama kveður við angistarvein og óstöðvandi grátur. Rakel grætur börnin sín. Hún er óhuggandi því þau eru ekki lengur lífs.“
280213005a	Eftir dauða Heródesar birtist engill Drottins Jósef í draumi í Egyptalandi og sagði:
2802140052	„Rís þú á fætur og farðu aftur til Ísraels með Jesú og móður hans.“
280215004f	Hann sneri því þegar í stað aftur til Ísraels með Jesú og móður hans.
28021600d6	Á leiðinni frétti hann sér til mikils ótta að nýi konungurinn í Júdeu væri Areklás, sonur Heródesar. Þá var hann varaður við í öðrum draumi, að fara til Júdeu, og því héldu þau til Galíleu
280217006b	og settust að í Nasaret. Þar með rættist þessi spádómur um Krist: „Hann mun kallaður Nasarei.“
280301007d	Meðan þau bjuggu í Nasaret tók Jóhannes skírari að predika í óbyggðum Júdeu. Kjarninn í boðskap hans var þessi:
2803020051	„Snúið ykkur frá syndinni og til Guðs, því ríki himnanna er nálægt.“
28030300b0	Jesaja spámaður sagði þannig fyrir um starf Jóhannesar mörgum öldum áður: „Ég heyri hrópað í auðninni: Ryðjið Drottni veg – gjörið beinar brautir hans.“
280304007f	Klæðnaður Jóhannesar var ofinn úr úlfaldahári, og hann notaði leðurbelti. Hann lifði á engisprettum og villihunangi.
280305005f	Fólk streymdi frá Jerúsalem, allri Júdeu og úr Jórdandalnum til þess að hlusta á hann.
280306003f	Þá sem játuðu syndir sínar skírði hann í ánni Jórdan.
28030700e3	Margir farísear og saddúkear komu til að láta skírast hjá Jóhannesi. Þegar hann sá þá koma ásakaði hann þá opinberlega og sagði: „Þið höggormssynir! Hver hefur sagt að þið gætuð umflúið reiði Guðs?
2803080070	Áður en þið látið skírast verðið þið að sýna í verki að þið hafið snúið ykkur frá syndinni.
28030900fd	Þið skuluð ekki halda að þið getið sloppið með því að segja: „Það er allt í lagi með okkur, við erum Gyðingar – afkomendur Abrahams“ það er engin trygging í því. Guð gæti breytt grjótinu hérna í Gyðinga, ef hann vildi.
28030a00aa	Nú þegar hefur öxi Guðs verið reidd til höggs, því að dómurinn er skammt undan og hvert það tré sem ekki ber ávöxt verður upp höggvið og brennt í eldi.
28030b00ad	Þá sem iðrast synda sinna skíri ég í vatni, en sá sem kemur á eftir mér er mér svo miklu æðri að ég er ekki einu sinni verður þess að halda á skónum hans!
28030c0070	Hann mun skilja hismið frá kjarnanum og safna korninu í hlöðuna en brenna hismið í óslökkvandi eldi.“
