0100000012	पैदाइश
050e01013d	“तुम ख़ुदावन्द अपने ख़ुदा के फ़र्ज़न्द हो, तुम मुर्दों की वजह से अपने आप को ज़ख़्मी न करना, और न अपने अबरू के बाल मुंडवाना।
050e02017c	क्यूँकि तू ख़ुदावन्द अपने ख़ुदा की मुक़द्दस क़ौम है और ख़ुदावन्द ने तुझको इस ज़मीन की और सब क़ौमों में से चुन लिया है ताकि तू उसकी ख़ास क़ौम ठहरे।
050e030054	“तू किसी घिनौनी चीज़ को मत खाना।
050e0400b5	जिन चौपायों को तुम खा सकते हो वह ये हैं, या'नी गाय — बैल, और भेड़, और बकरी,
050e0500c8	और चिकारे और हिरन, और छोटा हिरन और बुज़कोही और साबिर और नीलगाय और, जंगली भेड़।
050e0600f5	और चौपायों में से जिस जिस के पाँव अलग और चिरे हुए हैं और वह जुगाली भी करता हो तुम उसे खा सकते हो।
050e07020f	लेकिन उनमें से जो जुगाली करते हैं या उनके पाँव चिरे हुए हैं तुम उनको, या'नी ऊँट, और ख़रगोश, और साफ़ान को न खाना, क्यूँकि ये जुगाली करते हैं लेकिन इनके पाँव चिरे हुए नहीं हैं; इसलिए ये तुम्हारे लिए नापाक हैं।
050e08017a	और सूअर तुम्हारे लिए इस वजह से नापाक है कि उसके पाँव तो चिरे हुए हैं लेकिन वह जुगाली नहीं करता। तुम न तो उनका गोश्त खाना और न उनकी लाश को हाथ लगाना।
050e09009b	'आबी जानवरों में से तुम उन ही को खाना जिनके पर और छिल्के हों।
050e0a00be	लेकिन जिसके पर और छिल्के न हों तुम उसे मत खाना, वह तुम्हारे लिए नापाक हैं।
050e0b0076	“पाक परिन्दों में से तुम जिसे चाहो खा सकते हो,
050e0c00d8	लेकिन इनमें से तुम किसी को न खाना, या'नी 'उक़ाब, और उस्तुख़्वानख़्वार, और बहरी 'उक़ाब,
050e0d006a	और चील और बाज़ और गिद्ध और उनकी क़िस्म के:
050e0e002e	हर क़िस्म का कौवा,
050e0f009b	और शुतुरमुर्ग़ और चुग़द और कोकिल और क़िस्म क़िस्म के शाहीन,
050e100041	और बूम, और उल्लू, और क़ाज़,
050e11004d	और हवासिल, और रख़म, और हड़गीला,
050e120098	और लक़ — लक़, और हर क़िस्म का बगुला, और हुद — हुद, और चमगादड़।
050e1300b3	और सब परदार रेंगने वाले जानदार तुम्हारे लिए नापाक हैं, वह खाए न जाएँ।
050e14006b	और पाक परिन्दों में से तुम जिसे चाहो खाओ।
050e15026e	“जो जानवर आप ही मर जाए तू उसे मत खाना; तू उसे किसी परदेसी को, जो तेरे फाटकों के अन्दर हो खाने को दे सकता है, या उसे किसी अजनबी आदमी के हाथ बेच सकता है; क्यूँकि तू ख़ुदावन्द अपने ख़ुदा की मुक़द्दस क़ौम है। तू हलवान को उसकी माँ के दूध में न उबालना।
050e1600ba	“तू अपने ग़ल्ले में से, जो हर साल तुम्हारे खेतों में पैदा हो दहेकी देना।
050e170257	और तू ख़ुदावन्द अपने ख़ुदा के सामने उसी मक़ाम में जिसे वह अपने नाम के घर के लिए चुने, अपने ग़ल्ले और मय और तेल की दहेकी को, और अपने गाय — बैल और भेड़ — बकरियों के पहलौठों को खाना, ताकि तू हमेशा ख़ुदावन्द अपने ख़ुदा का ख़ौफ़ मानना सीखे।
050e180244	और अगर वह जगह जिसको ख़ुदावन्द तेरा ख़ुदा अपने नाम को वहाँ क़ाईम करने के लिए चुने तेरे घर से बहुत दूर हो, और रास्ता भी इस क़दर लम्बा हो कि तू अपनी दहेकी को उस हाल में जब ख़ुदावन्द तेरा ख़ुदा तुझको बरकत बख़्शे वहाँ तक न ले जा सके,
050e1900f3	तो तू उसे बेच कर रुपये को बाँध, हाथ में लिए हुए उस जगह चले जाना जिसे ख़ुदावन्द तेरा ख़ुदा चुने।
050e1a01a5	और इस रुपये से जो कुछ तेरा जी चाहे, चाहे गाय — बैल, या भेड़ — बकरी, या मय, या शराब मोल लेकर उसे अपने घराने समेत वहाँ ख़ुदावन्द अपने ख़ुदा के सामने खाना और ख़ुशी मनाना।
050e1b0106	और लावी को जो तेरे फाटकों के अन्दर है छोड़ न देना, क्यूँकि उसका तेरे साथ कोई हिस्सा या मीरास नहीं हैं।
050e1c0100	'तीन तीन बरस के बाद तू तीसरे बरस के माल की सारी दहेकी निकाल कर उसे अपने फाटकों के अन्दर इकट्ठा करना।
050e1d0223	तब लावी जिसका तेरे साथ कोई हिस्सा या मीरास नहीं, और परदेसी और यतीम और बेवा 'औरतें जो तेरे फाटकों के अन्दर हों आएँ, और खाकर सेर हों, ताकि ख़ुदावन्द तेरा ख़ुदा तेरे सब कामों में जिनको तू हाथ लगाये तुझको बरकत बख़्शे।
050f010066	'हर सात साल के बाद तू छुटकारा दिया करना।
050f020207	और छुटकारा देने का तरीक़ा ये हो, कि अगर किसी ने अपने पड़ोसी को कुछ क़र्ज़ दिया हो तो वह उसे छोड़ दे, और अपने पड़ोसी से या भाई से उसका मुताल्बा न करे; क्यूँकि ख़ुदावन्द के नाम से इस छुटकारे का 'ऐलान हुआ है।
050f03010a	परदेसी से तू उसका मुताल्बा कर सकता है, पर जो कुछ तेरा तेरे भाई पर आता हो उसकी तरफ़ से दस्तबरदार हो जाना।
050f0401a5	तेरे बीच कोई कंगाल न रहे; क्यूँकि ख़ुदावन्द तुझको इस मुल्क में ज़रूर बरकत बख़्शेगा, जिसे ख़ुद ख़ुदावन्द तेरा ख़ुदा मीरास के तौर पर तुझको क़ब्ज़ा करने को देता है।
050f05011d	बशर्ते कि तू ख़ुदावन्द अपने ख़ुदा की बात मान कर इन सब अहकाम पर चलने की एहतियात रख्खे, जो मैं आज तुझको देता हूँ।
050f060260	क्यूँकि ख़ुदावन्द तेरा ख़ुदा, जैसा उसने तुझ से वा'दा किया है, तुझको बरकत बख़्शेगा और तू बहुत सी क़ौमों को क़र्ज़ देगा, पर तुझको उनसे क़र्ज़ लेना न पड़ेगा; और तू बहुत सी क़ौमों पर हुक्मरानी करेगा, लेकिन वह तुझ पर हुक्मरानी करने न पाएँगी।
050f070201	जो मुल्क ख़ुदावन्द तेरा ख़ुदा तुझको देता है, अगर उसमें कहीं तेरे फाटकों के अन्दर तेरे भाइयों में से कोई ग़रीब हो, तो तू अपने उस ग़रीब भाई की तरफ़ से न अपना दिल सख़्त करना और न अपनी मुट्ठी बन्द कर लेना;
050f0800fc	बल्कि उसकी ज़रूरत दूर करने को जो चीज़ उसे दरकार हो, उसके लिए तू ज़रूर खुले दिल से उसे क़र्ज़ देना।
050f090269	ख़बरदार रहना कि तेरे दिल में ये बुरा ख़याल न गुज़रने पाए कि सातवाँ साल, जो छुटकारे का साल है, नज़दीक है और तेरे ग़रीब भाई की तरफ़ से तेरी नज़र बद हो जाए और तू उसे कुछ न दे; और वह तेरे ख़िलाफ़ ख़ुदावन्द से फ़रियाद करे और ये तेरे लिए गुनाह ठहरे।
050f0a0221	बल्कि तुझको उसे ज़रूर देना होगा; और उसको देते वक़्त तेरे दिल को बुरा भी न लगे, इसलिए कि ऐसी बात की वजह से ख़ुदावन्द तेरा ख़ुदा तेरे सब कामों में, और सब मु'आमिलों में जिनको तू अपने हाथ में लेगा तुझको बरकत बख़्शेगा।
050f0b019d	और चूँकि मुल्क में कंगाल हमेशा पाए जाएँगे, इसलिए मैं तुझको हुक्म करता हूँ कि तू अपने मुल्क में अपने भाई या'नी कंगालों और मुहताजों के लिए अपनी मुट्ठी खुली रखना।
050f0c0179	'अगर तेरा कोई भाई, चाहे वह 'इब्रानी मर्द हो या 'इब्रानी 'औरत तेरे हाथ बिके और वह छ: बरस तक तेरी ख़िदमत करे, तो तू सातवें साल उसको आज़ाद होकर जाने देना।
050f0d00c7	और जब तू उसे आज़ाद कर के अपने पास से रुख़्सत करे, तो उसे ख़ाली हाथ न जाने देना।
050f0e0177	बल्कि तू अपनी भेड़ बकरी और खत्ते और कोल्हू में से दिल खोलकर उसे देना, या'नी ख़ुदावन्द तेरे ख़ुदा ने जैसी बरकत तुझको दी हो उसके मुताबिक़ उसे देना।
050f0f0167	और याद रखना कि मुल्क — ए — मिस्र में तू भी ग़ुलाम था, और ख़ुदावन्द तेरे ख़ुदा ने तुझको छुड़ाया; इसीलिए मैं तुझको इस बात का हुक्म आज देता हूँ।
050f10014f	और अगर वह इस वजह से कि उसे तुझसे और तेरे घराने से मुहब्बत हो और वह तेरे साथ ख़ुशहाल हो, तुझ से कहने लगे कि मैं तेरे पास से नहीं जाता।
050f11013e	तो तू एक सुतारी लेकर उसका कान दरवाज़े से लगाकर छेद देना, तो वह हमेशा तेरा ग़ुलाम बना रहेगा। और अपनी लौंडी से भी ऐसा ही करना।
050f120203	और अगर तू उसे आज़ाद करके अपने पास से रुख़्सत करे तो उसे मुश्किल न गरदानना; क्यूँकि उसने दो मज़दूरों के बराबर छ: बरस तक तेरी ख़िदमत की, और ख़ुदावन्द तेरा ख़ुदा तेरे सब कारोबार में तुझको बरकत बख़्शेगा।
050f130206	“तेरे गाय — बैल और भेड़ — बकरियों में जितने पहलौठे नर पैदा हों, उन सब को ख़ुदावन्द अपने ख़ुदा के लिए मुक़द्दस करना, अपने गाय — बैल के पहलौठे से कुछ काम न लेना और न अपनी भेड़ — बकरी के पहलौठे के बाल कतरना।
050f140116	तू उसे अपने घराने समेत ख़ुदावन्द अपने ख़ुदा के सामने उसी जगह जिसे ख़ुदावन्द चुन ले, साल — ब — साल खाया करना।
050f15016b	और अगर उसमें कोई नुक़्स हो मसलन वह लंगड़ा या अन्धा हो या उसमें और कोई बुरा 'ऐब हो, तो ख़ुदावन्द अपने ख़ुदा के लिए उसकी क़ुर्बानी न गुज़रानना।
050f160126	तू उसे अपने फाटकों के अन्दर खाना। पाक और नापाक दोनों तरह के आदमी जैसे चिकारे और हिरन को खाते हैं वैसे ही उसे खाएँ।
050f1700ce	लेकिन उसके ख़ून को हरगिज़ न खाना; बल्कि तू उसको पानी की तरह ज़मीन पर उँडेल देना।
051001019f	'तू अबीब के महीने को याद रखना और उसमें ख़ुदावन्द अपने ख़ुदा की फ़सह करना क्यूँकि ख़ुदावन्द तेरा ख़ुदा अबीब के महीने में रात के वक़्त तुझको मिस्र से निकाल लाया।
0510020184	और जिस जगह को ख़ुदावन्द अपने नाम के घर के लिए चुने, वहीं तू ख़ुदावन्द अपने ख़ुदा के लिए अपने गाय — बैल और भेड़ — बकरी में से फ़सह की क़ुर्बानी पेश करना।
051003022d	तू उसके साथ ख़मीरी रोटी न खाना, बल्कि सात दिन तक उसके साथ बेख़मीरी रोटी जो दुख की रोटी है खाना; क्यूँकि तू मुल्क — ए — मिस्र से हड़बड़ी में निकला था। यूँ तू उम्र भर उस दिन को जब तू मुल्क — ए — मिस्र से निकले याद रख सकेगा।
0510040175	और तेरी हदों के अन्दर सात दिन तक कहीं ख़मीर नज़र न आए, और उस क़ुर्बानी में से जिसको तू पहले दिन की शाम को चढ़ाए कुछ गोश्त सुबह तक बाक़ी न रहने पाए।
051005010e	तू फ़सह की क़ुर्बानी को अपने फाटकों के अन्दर, जिनको ख़ुदावन्द तेरे ख़ुदा ने तुझको दिया हो कहीं न चढ़ाना;
05100601b2	बल्कि जिस जगह को ख़ुदावन्द तेरा ख़ुदा अपने नाम के घर के लिए चुनेगा, वहाँ तू फ़सह की क़ुर्बानी को उस वक़्त जब तू मिस्र से निकला था, या'नी शाम को सूरज डूबते वक़्त अदा करना।
0510070110	और जिस जगह को ख़ुदावन्द तेरा ख़ुदा चुने वहीं उसे भून कर खाना और फिर सुबह को अपने — अपने ख़ेमे को लौट जाना।
051008011e	छ: दिन तक बेख़मीरी रोटी खाना और सातवें दिन ख़ुदावन्द तेरे ख़ुदा की ख़ातिर पाक मजमा' हो, उसमें तू कोई काम न करना।
05100900f4	फिर तू सात हफ़्ते यूँ गिनना, कि जब से हँसुआ लेकर फ़सल काटनी शुरू' करे तब से सात हफ़्ते गिन लेना।
05100a0189	तब जैसी बरकत ख़ुदावन्द तेरे ख़ुदा ने दी हो, उसके मुताबिक़ अपने हाथ की रज़ा की क़ुर्बानी का हदिया लाकर ख़ुदावन्द अपने ख़ुदा के लिए हफ़्तों की 'ईद मनाना।
05100b028c	और उसी जगह जिसे ख़ुदावन्द तेरा ख़ुदा अपने नाम के घर के लिए चुनेगा, तू और तेरे बेटे बेटियाँ और तेरे ग़ुलाम और लौंडियाँ और वह लावी जो तेरे फाटकों के अन्दर हो, और मुसाफ़िर और यतीम और बेवा जो तेरे बीच हों, सब मिल कर ख़ुदावन्द अपने ख़ुदा के सामने ख़ुशी मनाना।
05100c00c8	और याद रखना के तू मिस्र में ग़ुलाम था और इन हुक्मों पर एहतियात करके 'अमल करना।
05100d00d1	जब तू अपने खलीहान और कोल्हू का माल जमा' कर चुके, तो सात दिन तक 'ईद — ए — ख़ियाम करना।
05100e0174	और तू और तेरे बेटे बेटियाँ और ग़ुलाम और लौंडियाँ और लावी, और मुसाफ़िर और यतीम और बेवा जो तेरे फाटकों के अन्दर हों, सब तेरी इस 'ईद में ख़ुशी मनाएँ।
05100f022f	सात दिन तक तू ख़ुदावन्द अपने ख़ुदा के लिए उसी जगह जिसे ख़ुदावन्द चुने, 'ईद करना, इसलिए कि ख़ुदावन्द तेरा ख़ुदा तेरे सारे माल में और सब कामों में जिनको तू हाथ लगाये तुझको बरकत बख़्शेगा, इसलिए तू पूरी — पूरी ख़ुशी करना।
051010024e	और साल में तीन बार, या'नी बेख़मीरी रोटी की 'ईद और हफ़्तों की 'ईद और 'ईद — ए — ख़ियाम के मौक़े' पर तेरे यहाँ के सब मर्द ख़ुदावन्द अपने ख़ुदा के आगे, उसी जगह हाज़िर हुआ करें जिसे वह चुनेगा। और जब आएँ तो ख़ुदावन्द के सामने ख़ाली हाथ न आएँ;
05101100f4	बल्कि हर मर्द जैसी बरकत ख़ुदावन्द तेरे ख़ुदा ने तुझको बख़्शी हो अपनी तौफ़ीक़ के मुताबिक़ दे।
0510120164	तू अपने क़बीलों की सब बस्तियों में जिनको ख़ुदावन्द तेरा ख़ुदा तुझको दे, क़ाज़ी और हाकिम मुक़र्रर करना जो सदाक़त से लोगों की 'अदालत करें।
05101301a2	तू इन्साफ़ का ख़ून न करना। तू न तो किसी की रूरि'आयत करना और न रिश्वत लेना, क्यूँकि रिश्वत 'अक़्लमन्द की आँखों को अन्धा कर देती है और सादिक़ की बातों को पलट देती है।
0510140151	जो कुछ बिल्कुल हक़ है तू उसी की पैरवी करना, ताकि तू ज़िन्दा रहे और उस मुल्क का मालिक बन जाये जो ख़ुदावन्द तेरा ख़ुदा तुझको देता है।
05101500fa	जो मज़बह तू ख़ुदावन्द अपने ख़ुदा के लिए बनाये उसके क़रीब किसी क़िस्म के दरख़्त की यसीरत न लगाना,
05101600c7	और न कोई सुतून अपने लिए खड़ा कर लेना, जिससे ख़ुदावन्द तेरे ख़ुदा को नफ़रत है।
0511010179	तू ख़ुदावन्द अपने ख़ुदा के लिए कोई बैल या भेड़ — बकरी, जिसमें कोई 'ऐब या बुराई हो, ज़बह मत करना क्यूँकि यह ख़ुदावन्द तेरे ख़ुदा के नज़दीक मकरूह है।
05110201bb	'अगर तेरे बीच तेरी बस्तियों में जिनको ख़ुदावन्द तेरा ख़ुदा तुझको दे, कहीं कोई मर्द या 'औरत मिले जिसने ख़ुदावन्द तेरे ख़ुदा के सामने यह बदकारी की हो कि उसके 'अहद को तोड़ा हो,
051103014d	और जाकर और मा'बूदों की या सूरज या चाँद या अजराम — ए — फ़लक में से किसी की, जिसका हुक्म मैंने तुझको नहीं दिया, इबादत और परस्तिश की हो,
0511040194	और यह बात तुझको बताई जाए और तेरे सुनने में आए, तो तू जाँफ़िशानी से तहक़ीक़ात करना और अगर यह ठीक हो और कत'ई तौर पर साबित हो जाए कि इस्राईल में ऐसा मकरूह काम हुआ,
051105013f	तो तू उस मर्द या उस 'औरत को जिसने यह बुरा काम किया हो, बाहर अपने फाटकों पर निकाल ले जाना और उनको ऐसा संगसार करना कि वह मर जाएँ।
051106011e	जो वाजिब — उल — क़त्ल ठहरे वह दो या तीन आदमियों की गवाही से मारा जाए, सिर्फ़ एक ही आदमी की गवाही से वह मारा न जाए।
051107013f	उसको क़त्ल करते वक़्त गवाहों के हाथ पहले उस पर उठे उसके बाद बाक़ी सब लोगों के हाथ, यूँ तू अपने बीच से शरारत को दूर किया करना।
0511080223	अगर तेरी बस्तियों में कहीं आपस के ख़ून या आपस के दा'वे या आपस की मार पीट के बारे में कोई झगड़े की बात उठे, और उसका फ़ैसला करना तेरे लिए निहायत ही मुश्किल हो, तो तू उठ कर उस जगह जिसे ख़ुदावन्द तेरा ख़ुदा चुनेगा जाना।
0511090122	और लावी काहिनों और उन दिनों के क़ाज़ियों के पास पहुँच कर उनसे दरियाफ़्त करना, और वह तुझको फ़ैसले की बात बताएँगे;
05110a018c	और तू उसी फ़ैसले के मुताबिक़ जो वह तुझको उस जगह से जिसे ख़ुदावन्द चुनेगा बताए 'अमल करना। जैसा वह तुमको सिखाएँ उसी के मुताबिक़ सब कुछ एहतियात करके मानना।
05110b0152	शरी'अत की जो बात वह तुझको सिखाएँ और जैसा फ़ैसला तुझको बताएँ, उसी के मुताबिक़ करना और जो कुछ फ़तवा वह दें उससे दहने या बाएँ न मुड़ना।
05110c0224	और अगर कोई शख़्स गुस्ताख़ी से पेश आए कि उस काहिन की बात, जो ख़ुदावन्द तेरे ख़ुदा के सामने ख़िदमत के लिए खड़ा रहता है या उस क़ाज़ी का कहा न सुने, तो वह शख़्स मार डाला जाए और तू इस्राईल में से ऐसी बुराई को दूर कर देना।
05110d00a0	और सब लोग सुन कर डर जाएँगे और फिर गुस्ताख़ी से पेश नहीं आएँगे।
05110e01ed	जब तू उस मुल्क में जिसे ख़ुदावन्द तेरा ख़ुदा तुझको देता है पहुँच जाये, और उस पर क़ब्ज़ा कर के वहाँ रहने और कहने लगे, कि उन क़ौमों की तरह जो मेरे चारों तरफ़ हैं मैं भी किसी को अपना बादशाह बनाऊँ।
05110f01e1	तो तू बहरहाल सिर्फ़ उसी को अपना बादशाह बनाना जिसको ख़ुदावन्द तेरा ख़ुदा चुन ले, तू अपने भाइयों में से ही किसी को अपना बादशाह बनाना, और परदेसी को जो तेरा भाई नहीं अपने ऊपर हाकिम न कर लेना।
05111001d9	इतना ज़रूर है कि वह अपने लिए बहुत घोड़े न बढ़ाए, और न लोगों को मिस्र में भेजे ताकि उसके पास बहुत से घोड़े हो जाएँ, इसलिए कि ख़ुदावन्द ने तुमसे कहा है कि तुम उस राह से फिर कभी उधर न लौटना।
0511110103	और वह बहुत सी बीवियाँ भी न रख्खे ऐसा न हो कि उसका दिल फिर जाए, और न वह अपने लिए सोना चाँदी ज़ख़ीरा करे।
0511120136	और जब वह तख़्त — ए — सल्तनत पर बैठा करे तो उस शरी'अत की जो लावी काहिनों के पास रहेगी, एक नक़ल अपने लिए एक किताब में उतार ले।
0511130180	और वह उसे अपने पास रख्खे और अपनी सारी उम्र उसको पढ़ा करे, ताकि वह ख़ुदावन्द अपने ख़ुदा का ख़ौफ़ मानना और उस शरी'अत और आईन की सब बातों पर 'अमल करना सीखे;
05111401af	जिससे उसके दिल में ग़ुरूर न हो कि वह अपने भाइयों को हक़ीर जाने, और इन अहकाम से न तो दहने न बाएँ मुड़े; ताकि इस्राईलियों के बीच उसकी और उसकी औलाद की सल्तनत ज़माने तक रहे।
051201016c	लावी काहिनों या'नी लावी के क़बीले का कोई हिस्सा और मीरास इस्राईल के साथ न हो; वह ख़ुदावन्द की आतिशीन क़ुर्बानियाँ और उसी की मीरास खाया करें।
05120200f8	इसलिए उनके भाइयों के साथ उनको मीरास न मिले; ख़ुदावन्द उनकी मीरास है, जैसा उसने ख़ुद उनसे कहा है।
051203016d	और जो लोग गाय — बैल या भेड़ या बकरी की क़ुर्बानी गुज़रानते हैं उनकी तरफ़ से काहिनों का यह हक़ होगा, कि वह काहिन को शाना और कनपटियाँ और झोझ दें।
0512040112	और तू अपने अनाज और मय और तेल के पहले फल में से, और अपनी भेड़ों के बाल में से जो पहली दफ़ा' कतरे जाएँ उसे देना।
051205017c	क्यूँकि ख़ुदावन्द तेरे ख़ुदा ने उसको तेरे सब क़बीलों में से चुन लिया है, ताकि वह और उसकी औलाद हमेशा ख़ुदावन्द के नाम से ख़िदमत के लिए हाज़िर रहें।
05120601cd	और तेरी जो बस्तियाँ सब इस्राईलियों में हैं उनमें से अगर कोई लावी किसी बस्ती से जहाँ वह बूद — ओ — बाश करता था आए, और अपने दिल की पूरी चाहत से उस जगह हाज़िर हो जिसको ख़ुदावन्द चुनेगा:
0512070136	तो अपने सब लावी भाइयों की तरह जो वहाँ ख़ुदावन्द के सामने खड़े रहते हैं, वह भी ख़ुदावन्द अपने ख़ुदा के नाम से ख़िदमत करे।
051208010f	और उन सबको खाने को बराबर हिस्सा मिले, 'अलावा उस क़ीमत के जो उसके बाप — दादा की मीरास बेचने से उसे हासिल हो।
051209012a	जब तू उस मुल्क में जो ख़ुदावन्द तेरा ख़ुदा तुमको देता है पहुँच जाओ, तो वहाँ की क़ौमों की तरह मकरूह काम करने न सीखना।
05120a0133	तुझमें हरगिज़ कोई ऐसा न हो जो अपने बेटे या बेटी को आग में चलवाए, या फ़ालगीर या शगुन निकालने वाला या अफ़सूँनगर या जादूगर
05120b0082	या मंतरी या जिन्नात का आशना या रम्माल या साहिर हो।
05120c017a	क्यूँकि वह सब जो ऐसा काम करते हैं ख़ुदावन्द के नज़दीक मकरूह हैं, और इन ही मकरूहात की वजह से ख़ुदावन्द तेरा ख़ुदा उनको तेरे सामने से निकालने पर है।
05120d0076	तू ख़ुदावन्द अपने ख़ुदा के सामने कामिल रहना।
05120e0160	क्यूँकि वह क़ौमें जिनका तू वारिस होगा शगुन निकालने वालों और फ़ालगीर की सुनती हैं; लेकिन तुझको ख़ुदावन्द तेरे ख़ुदा ने ऐसा करने न दिया।
05120f0128	ख़ुदावन्द तेरा ख़ुदा तेरे लिए तेरे ही बीच से, या'नी तेरे ही भाइयों में से मेरी तरह एक नबी खड़ा करेगा तुम उसकी सुनना;
0512100219	यह तेरी उस दरख़्वास्त के मुताबिक़ होगा जो तूने ख़ुदावन्द अपने ख़ुदा से मजमे' के दिन होरिब में की थी, 'मुझको न तो ख़ुदावन्द अपने ख़ुदा की आवाज़ फिर सुननी पड़े और न ऐसी बड़ी आग ही का नज़ारा हो, ताकि मैं मर न जाऊँ।
05121100b0	और ख़ुदावन्द ने मुझसे कहा कि “वह जो कुछ कहते हैं इसलिए ठीक कहते हैं।
051212017b	मैं उनके लिए उन ही के भाइयों में से तेरी तरह एक नबी खड़ा करूँगा, और अपना कलाम उसके मुँह में डालूँगा, और जो कुछ मैं उसे हुक्म दूँगा वही वह उनसे कहेगा।
05121300ed	और जो कोई मेरी उन बातों की जिनकी वह मेरा नाम लेकर कहेगा न सुने, तो मैं उनका हिसाब उनसे लूँगा।
051214018d	लेकिन जो नबी गुस्ताख़ बन कर कोई ऐसी बात मेरे नाम से कहे, जिसके कहने का मैंने उसको हुक्म नहीं दिया या और मा'बूदों के नाम से कुछ कहे, तो वह नबी क़त्ल किया जाए।
05121500dd	और अगर तू अपने दिल में कहे कि 'जो बात ख़ुदावन्द ने नहीं कही है, उसे हम क्यूँ कर पहचानें?'
0512160219	तो पहचान यह है, कि जब वह नबी ख़ुदावन्द के नाम से कुछ कहे और उसके कहे कि मुताबिक़ कुछ वाक़े' या पूरा न हो, तो वह बात ख़ुदावन्द की कही हुई नहीं; बल्कि उस नबी ने वह बात ख़ुद गुस्ताख़ बन कर कही है, तू उससे ख़ौफ़ न करना।
051301016e	जब ख़ुदावन्द तेरा ख़ुदा उन क़ौमों को, जिनका मुल्क ख़ुदावन्द तेरा ख़ुदा तुझको देता है काट डाले, और तू उनकी जगह उनके शहरों और घरों में रहने लगे,
051302010f	तो तू उस मुल्क में जिसे ख़ुदावन्द तेरा ख़ुदा तुझको क़ब्ज़ा करने को देता है, तीन शहर अपने लिए अलग कर देना।
05130301b0	और तू एक रास्ता भी अपने लिए तैयार करना, और अपने उस मुल्क की ज़मीन को जिस पर ख़ुदावन्द तेरा ख़ुदा तुझको क़ब्ज़ा दिलाता है तीन हिस्से करना, ताकि हर एक ख़ूनी वहीं भाग जाए।
051304015f	और उस क़ातिल का जो वहाँ भाग कर अपनी जान बचाए हाल यह हो, कि उसने अपने पड़ोसी को अनजाने में और बग़ैर उससे पुरानी दुश्मनी रख्खे मार डाला हो।
0513050241	मसलन कोई शख़्स अपने पड़ोसी के साथ लकड़ियाँ काटने को जंगल में जाए और कुल्हाड़ा हाथ में उठाए ताकि दरख़्त काटे, और कुल्हाड़ा दस्ते से निकल कर उसके पड़ोसी के जा लगे और वह मर जाए, तो वह इन शहरों में से किसी में भाग कर ज़िन्दा बचे।
0513060245	कहीं ऐसा न हो कि रास्ते की लम्बाई की वजह से ख़ून का इन्तक़ाम लेने वाला अपने जोश — ए — ग़ज़ब में क़ातिल का पीछा करके उसको जा पकड़े और उसको क़त्ल करे, हालाँके वह वाजिब — उल — क़त्ल नहीं क्यूँकि उसे मक़्तूल से पुरानी दुश्मनी न थी।
05130700aa	इसलिए मैं तुझको हुक्म देता हूँ कि तू अपने लिए तीन शहर अलग कर देना।
05130801b5	और अगर ख़ुदावन्द तेरा ख़ुदा उस क़सम के मुताबिक़ जो उसने तेरे बाप — दादा से खाई, तेरी सरहद को बढ़ाकर वह सब मुल्क जिसके देने का वा'दा उसने तेरे बाप दादा से किया था तुझको दे।
05130901ff	और तू इन सब हुक्मों पर जो आज के दिन मैं तुझको देता हूँ ध्यान करके 'अमल करे और ख़ुदावन्द अपने ख़ुदा से मुहब्बत रख्खे और हमेशा उसकी राहों पर चले, तो इन तीन शहरों के आलावा तीन शहर और अपने लिए अलग कर देना।
05130a015a	ताकि तेरे मुल्क के बीच जिसे ख़ुदावन्द तेरा ख़ुदा तुझको मीरास में देता है, बेगुनाह का ख़ून बहाया न जाए और वह ख़ून यूँ तेरी गर्दन पर हो।
05130b0194	लेकिन अगर कोई शख़्स अपने पड़ोसी से दुश्मनी रखता हुआ उसकी घात में लगे, और उस पर हमला कर के उसे ऐसा मारे कि वह मर जाए और वह ख़ुद उन शहरों में से किसी में भाग जाए।
05130c016d	तो उसके शहर के बुज़ुर्ग लोगों को भेजकर उसे वहाँ से पकड़वा मँगवाएँ, और उसको ख़ून के इन्तक़ाम लेने वाले के हाथ में हवाले करें ताकि वह क़त्ल हो।
