25	66	1189	563
File Name	Holy-Bible---English---STEPBible-Concordant---Standard-Edition.noia
55	and if not to possess: take [obj] to dwell [the] land: country/planet from face: before your and to be which to remain from them to/for thorn in/on/with eye your and to/for thorn in/on/with side your and to vex [obj] you upon [the] land: country/planet which you(m. p.) to dwell in/on/with her
56	and to be like/as as which to resemble to/for to make: do to/for them to make: do to/for you
34	29
1	and to speak: speak LORD to(wards) Moses to/for to say
2	to command [obj] son: descendant/people Israel and to say to(wards) them for you(m. p.) to come (in): come to(wards) [the] land: country/planet Canaan this [the] land: country/planet which to fall: allot to/for you in/on/with inheritance land: country/planet Canaan to/for border her
3	and to be to/for you side south from wilderness Zin upon hand: to Edom and to be to/for you border: boundary south from end sea [the] Salt (Sea) east [to]
4	and to turn: turn to/for you [the] border: boundary from south to/for Akrabbim Akrabbim and to pass Zin [to] (and to be *Q(K)*) outgoing his from south to/for Kadesh-barnea Kadesh-barnea and to come out: extends Hazar-addar Hazar-addar and to pass Azmon [to]
5	and to turn: turn [the] border: boundary from Azmon Brook [to] (Brook of) Egypt and to be outgoing his [the] sea [to]
6	and border: boundary sea: west and to be to/for you [the] sea [the] Great (Sea) and border: boundary this to be to/for you border: boundary sea: west
7	and this to be to/for you border: boundary north from [the] sea [the] Great (Sea) to mark to/for you (Mount) Hor [the] mountain: mount
8	from (Mount) Hor [the] mountain: mount to mark Lebo-(Hamath) Hamath and to be outgoing [the] border: boundary Zedad [to]
9	and to come out: extends [the] border: boundary Ziphron [to] and to be outgoing his Hazar-enan Hazar-enan this to be to/for you border: boundary north
10	and to mark to/for you to/for border: boundary east [to] from Hazar-enan Hazar-enan Shepham [to]
11	and to go down [the] border: boundary from Shepham [the] Riblah from front: east to/for Ain and to go down [the] border: boundary and to strike upon shoulder sea (Sea of) Chinnereth east [to]
12	and to go down [the] border: boundary [the] Jordan [to] and to be outgoing his sea [the] Salt (Sea) this to be to/for you [the] land: country/planet to/for border her around
13	and to command Moses [obj] son: descendant/people Israel to/for to say this [the] land: country/planet which to inherit [obj] her in/on/with allotted which to command LORD to/for to give: give to/for nine [the] tribe and half [the] tribe
14	for to take: recieve tribe son: descendant/people [the] Reubenite to/for house: household father their and tribe son: descendant/people [the] Gad to/for house: household father their and half tribe Manasseh to take: recieve inheritance their
15	two [the] tribe and half [the] tribe to take: recieve inheritance their from side: beyond to/for Jordan Jericho east [to] east [to]
16	and to speak: speak LORD to(wards) Moses to/for to say
17	these name [the] human which to inherit to/for you [obj] [the] land: country/planet Eleazar [the] priest and Joshua son: child Nun
18	and leader one leader one from tribe to take: take to/for to inherit [obj] [the] land: country/planet
19	and these name [the] human to/for tribe Judah Caleb son: child Jephunneh
20	and to/for tribe son: descendant/people Simeon Shemuel son: child Ammihud
21	to/for tribe Benjamin Elidad son: child Chislon
22	and to/for tribe son: descendant/people Dan leader Bukki son: child Jogli
23	to/for son: descendant/people Joseph to/for tribe son: descendant/people Manasseh leader Hanniel son: child Ephod
24	and to/for tribe son: descendant/people Ephraim leader Kemuel son: child Shiphtan
25	and to/for tribe son: descendant/people Zebulun leader Elizaphan son: child Parnach
26	and to/for tribe son: descendant/people Issachar leader Paltiel son: child Azzan
27	and to/for tribe son: descendant/people Asher leader Ahihud son: child Shelomi
28	and to/for tribe son: descendant/people Naphtali leader Pedahel son: child Ammihud
29	these which to command LORD to/for to inherit [obj] son: descendant/people Israel in/on/with land: country/planet Canaan
35	34
1	and to speak: speak LORD to(wards) Moses in/on/with Plains (of Moab) (Plains of) Moab upon Jordan Jericho to/for to say
2	to command [obj] son: descendant/people Israel and to give: give to/for Levi from inheritance possession their city to/for to dwell and pasture to/for city around them to give: give to/for Levi
3	and to be [the] city to/for them to/for to dwell and pasture their to be to/for animal their and to/for property their and to/for all living thing their
4	and pasture [the] city which to give: give to/for Levi from wall [the] city and outside [to] thousand cubit around
5	and to measure from outside to/for city [obj] side east [to] thousand in/on/with cubit and [obj] side south thousand in/on/with cubit and [obj] side sea: west thousand in/on/with cubit and [obj] side north thousand in/on/with cubit and [the] city in/on/with midst this to be to/for them pasture [the] city
6	and [obj] [the] city which to give: give to/for Levi [obj] six city [the] refuge which to give: allow to/for to flee there [to] [the] to murder and upon them to give: give forty and two city
7	all [the] city which to give: give to/for Levi forty and eight city [obj] them and [obj] pasture their
8	and [the] city which to give: give from possession son: descendant/people Israel from with [the] many to multiply and from with [the] little to diminish man: anyone like/as lip: according inheritance his which to inherit to give: give from city his to/for Levi
9	and to speak: speak LORD to(wards) Moses to/for to say
10	to speak: speak to(wards) son: descendant/people Israel and to say to(wards) them for you(m. p.) to pass [obj] [the] Jordan land: country/planet [to] Canaan
11	and to meet to/for you city city refuge to be to/for you and to flee there [to] to murder to smite soul: person in/on/with unintentionally
12	and to be to/for you [the] city to/for refuge from to redeem: avenge and not to die [the] to murder till to stand: stand he to/for face: before [the] congregation to/for justice: judgement
13	and [the] city which to give: give six city refuge to be to/for you
14	[obj] three [the] city to give: give from side: beyond to/for Jordan and [obj] three [the] city to give: give in/on/with land: country/planet Canaan city refuge to be
15	to/for son: descendant/people Israel and to/for sojourner and to/for sojourner in/on/with midst their to be six [the] city [the] these to/for refuge to/for to flee there [to] all to smite soul: person in/on/with unintentionally
16	and if in/on/with article/utensil iron to smite him and to die to murder he/she/it to die to die [the] to murder
17	and if in/on/with stone hand: tool which to die in/on/with her to smite him and to die to murder he/she/it to die to die [the] to murder
18	or in/on/with article/utensil tree: stick hand: tool which to die in/on/with him to smite him and to die to murder he/she/it to die to die [the] to murder
19	to redeem: avenge [the] blood he/she/it to die [obj] [the] to murder in/on/with to fall on he in/on/with him he/she/it to die him
20	and if in/on/with hating to thrust him or to throw upon him in/on/with ambush and to die
21	or in/on/with enmity to smite him in/on/with hand his and to die to die to die [the] to smite to murder he/she/it to redeem: avenge [the] blood to die [obj] [the] to murder in/on/with to fall on he in/on/with him
22	and if in/on/with suddenness in/on/with not enmity to thrust him or to throw upon him all article/utensil in/on/with not ambush
23	or in/on/with all stone which to die in/on/with her in/on/with not to see: see and to fall: fall upon him and to die and he/she/it not enemy to/for him and not to seek distress: harm his
24	and to judge [the] congregation between [the] to smite and between to redeem: avenge [the] blood upon [the] justice: judgement [the] these
25	and to rescue [the] congregation [obj] [the] to murder from hand to redeem: avenge [the] blood and to return: rescue [obj] him [the] congregation to(wards) city refuge his which to flee there [to] and to dwell in/on/with her till death [the] priest [the] great: large which to anoint [obj] him in/on/with oil [the] holiness
26	and if to come out: come to come out: extends [the] to murder [obj] border: boundary city refuge his which to flee there [to]
27	and to find [obj] him to redeem: avenge [the] blood from outside to/for border: boundary city refuge his and to murder to redeem: avenge [the] blood [obj] [the] to murder nothing to/for him blood
28	for in/on/with city refuge his to dwell till death [the] priest [the] great: large and after death [the] priest [the] great: large to return: return [the] to murder to(wards) land: country/planet possession his
29	and to be these to/for you to/for statute justice: judgement to/for generation your in/on/with all seat your
30	all to smite soul: person to/for lip: word witness to murder [obj] [the] to murder and witness one not to answer in/on/with soul: person to/for to die
31	and not to take: recieve ransom to/for soul: life to murder which he/she/it wicked to/for to die for to die to die
32	and not to take: recieve ransom to/for to flee to(wards) city refuge his to/for to return: return to/for to dwell in/on/with land: country/planet till death [the] priest
33	and not to pollute [obj] [the] land: country/planet which you(m. p.) in/on/with her for [the] blood he/she/it to pollute [obj] [the] land: country/planet and to/for land: country/planet not to atone to/for blood which to pour: kill in/on/with her for if: except in/on/with blood to pour: kill him
34	and not to defile [obj] [the] land: country/planet which you(m. p.) to dwell in/on/with her which I to dwell in/on/with midst her for I LORD to dwell in/on/with midst son: descendant/people Israel
36	13
1	and to present: come head: leader [the] father to/for family son: descendant/people Gilead son: child Machir son: child Manasseh from family son: descendant/people Joseph and to speak: speak to/for face: before Moses and to/for face: before [the] leader head: leader father to/for son: descendant/people Israel
2	and to say [obj] lord my to command LORD to/for to give: give [obj] [the] land: country/planet in/on/with inheritance in/on/with allotted to/for son: descendant/people Israel and lord my to command in/on/with LORD to/for to give: give [obj] inheritance Zelophehad brother: male-sibling our to/for daughter his
3	and to be to/for one from son: descendant/people tribe son: descendant/people Israel to/for woman: wife and to dimish inheritance their from inheritance father our and to add upon inheritance [the] tribe which to be to/for them and from allotted inheritance our to dimish
4	and if to be [the] jubilee/horn to/for son: descendant/people Israel and to add inheritance their upon inheritance [the] tribe which to be to/for them and from inheritance tribe father our to dimish inheritance their
5	and to command Moses [obj] son: descendant/people Israel upon lip: word LORD to/for to say right tribe son: descendant/people Joseph to speak: speak
6	this [the] word: thing which to command LORD to/for daughter Zelophehad to/for to say to/for pleasant in/on/with eye: appearance their to be to/for woman: wife surely to/for family tribe father their to be to/for woman: wife
7	and not to turn: turn inheritance to/for son: descendant/people Israel from tribe to(wards) tribe for man: anyone in/on/with inheritance tribe father his to cleave son: descendant/people Israel
8	and all daughter to possess: possess inheritance from tribe son: descendant/people Israel to/for one from family tribe father her to be to/for woman: wife because to possess: possess son: descendant/people Israel man: anyone inheritance father his
9	and not to turn: turn inheritance from tribe to/for tribe another for man: anyone in/on/with inheritance his to cleave tribe son: descendant/people Israel
10	like/as as which to command LORD [obj] Moses so to make: do daughter Zelophehad
11	and to be Mahlah Tirzah and Hoglah and Milcah and Noah daughter Zelophehad to/for son: child beloved: male relative their to/for woman: wife
12	from family son: descendant/people Manasseh son: child Joseph to be to/for woman: wife and to be inheritance their upon tribe family father their
13	these [the] commandment and [the] justice: judgement which to command LORD in/on/with hand: by Moses to(wards) son: descendant/people Israel in/on/with Plains (of Moab) (Plains of) Moab upon Jordan Jericho
5	Deuteronomy	34
1	46
1	these [the] word which to speak: speak Moses to(wards) all Israel in/on/with side: beyond [the] Jordan in/on/with wilderness in/on/with Arabah opposite Suph between Paran and between Tophel and Laban and Hazeroth and Dizahab Dizahab
2	one ten day from Horeb way: road mountain: mount (Mount) Seir till Kadesh-barnea Kadesh-barnea
3	and to be in/on/with forty year in/on/with eleven ten month in/on/with one to/for month to speak: speak Moses to(wards) son: descendant/people Israel like/as all which to command LORD [obj] him to(wards) them
4	after to smite he [obj] Sihon king [the] Amorite which to dwell in/on/with Heshbon and [obj] Og king [the] Bashan which to dwell in/on/with Ashtaroth in/on/with Edrei
5	in/on/with side: beyond [the] Jordan in/on/with land: country/planet Moab be willing Moses to make plain [obj] [the] instruction [the] this to/for to say
6	LORD God our to speak: speak to(wards) us in/on/with Horeb to/for to say many to/for you to dwell in/on/with mountain: mount [the] this
7	to turn and to set out to/for you and to come (in): come mountain: hill country [the] Amorite and to(wards) all neighboring his in/on/with Arabah in/on/with mountain: hill country and in/on/with Shephelah and in/on/with Negeb and in/on/with coast [the] sea land: country/planet [the] Canaanite and [the] Lebanon till [the] river [the] great: large river Euphrates
8	to see: behold! to give: put to/for face: before your [obj] [the] land: country/planet to come (in): come and to possess: take [obj] [the] land: country/planet which to swear LORD to/for father your to/for Abraham to/for Isaac and to/for Jacob to/for to give: give to/for them and to/for seed: children their after them
9	and to say to(wards) you in/on/with time [the] he/she/it to/for to say not be able to/for alone me to lift: bear [obj] you
10	LORD God your to multiply [obj] you and behold you [the] day like/as star [the] heaven to/for abundance
11	LORD God father your to add upon you like/as you thousand beat and to bless [obj] you like/as as which to speak: promise to/for you
12	how? to lift: bear to/for alone me burden your and burden your and strife your
13	to give to/for you human wise and to understand and to know to/for tribe your and to set: appoint them in/on/with head: leader your
14	and to answer [obj] me and to say pleasant [the] word: thing which to speak: speak to/for to make: do
15	and to take: take [obj] head: leader tribe your human wise and to know and to give: put [obj] them head: leader upon you ruler thousand and ruler hundred and ruler fifty and ruler ten and official to/for tribe your
16	and to command [obj] to judge you in/on/with time [the] he/she/it to/for to say to hear: hear between brother: compatriot your and to judge righteousness between man: anyone and between brother: compatriot his and between sojourner his
17	not to recognize face: kindness in/on/with justice: judgement like/as small like/as great: large to hear: hear [emph?] not to dread from face of man: anyone for [the] justice: judgement to/for God he/she/it and [the] word: case which to harden from you to present: bring [emph?] to(wards) me and to hear: hear him
18	and to command [obj] you in/on/with time [the] he/she/it [obj] all [the] word: thing which to make: do [emph?]
19	and to set out from Horeb and to go: walk [obj] all [the] wilderness [the] great: large and [the] to fear [the] he/she/it which to see: see way: road mountain: hill country [the] Amorite like/as as which to command LORD God our [obj] us and to come (in): come till Kadesh-barnea Kadesh-barnea
20	and to say to(wards) you to come (in): come till mountain: hill country [the] Amorite which LORD God our to give: give to/for us
21	to see: behold! to give: put LORD God your to/for face: before your [obj] [the] land: country/planet to ascend: rise to possess: take like/as as which to speak: speak LORD God father your to/for you not to fear and not to to be dismayed
22	and to present: come [emph?] to(wards) me all your and to say to send: depart human to/for face: before our and to search to/for us [obj] [the] land: country/planet and to return: return [obj] us word [obj] [the] way: road which to ascend: rise in/on/with her and [obj] [the] city which to come (in): come to(wards) them
23	and be good in/on/with eye: appearance my [the] word: thing and to take: take from you two ten human man one to/for tribe
24	and to turn and to ascend: rise [the] mountain: hill country [to] and to come (in): come till (Eshcol) Valley (Valley of) Eshcol and to spy [obj] her
25	and to take: take in/on/with hand their from fruit [the] land: country/planet and to go down to(wards) us and to return: return [obj] us word and to say pleasant [the] land: country/planet which LORD God our to give: give to/for us
26	and not be willing to/for to ascend: rise and to rebel [obj] lip: word LORD God your
27	and to grumble in/on/with tent your and to say in/on/with hating LORD [obj] us to come out: send us from land: country/planet Egypt to/for to give: give [obj] us in/on/with hand: power [the] Amorite to/for to destroy us
28	where? we to ascend: rise brother: compatriot our to melt [obj] heart our to/for to say people great: large and to exalt from us city great: large and to gather/restrain/fortify in/on/with heaven and also son: child Anakite to see: see there
29	and to say to(wards) you not to tremble [emph?] and not to fear [emph?] from them
30	LORD God your [the] to go: went to/for face: before your he/she/it to fight to/for you like/as all which to make: do with you in/on/with Egypt to/for eye: before(the eyes) your
31	and in/on/with wilderness which to see: see which to lift: bear you LORD God your like/as as which to lift: bear man: anyone [obj] son: child his in/on/with all [the] way: journey which to go: went till to come (in): come you till [the] place [the] this
32	and in/on/with word [the] this nothing you be faithful in/on/with LORD God your
33	[the] to go: went to/for face: before your in/on/with way: road to/for to spy to/for you place to/for to camp you in/on/with fire night to/for to see: see you in/on/with way: road which to go: went in/on/with her and in/on/with cloud by day
34	and to hear: hear LORD [obj] voice: [sound of] word your and be angry and to swear to/for to say
35	if: surely no to see: see man: anyone in/on/with human [the] these [the] generation [the] bad: evil [the] this [obj] [the] land: country/planet [the] pleasant which to swear to/for to give: give to/for father your
36	exception Caleb son: child Jephunneh he/she/it to see: see her and to/for him to give: give [obj] [the] land: country/planet which to tread in/on/with her and to/for son: descendant/people his because which to fill after LORD
37	also in/on/with me be angry LORD in/on/with because of you to/for to say also you(m. s.) not to come (in): come there
38	Joshua (son: child *L(abh)*) Nun [the] to stand: stand to/for face: before your he/she/it to come (in): come there [to] [obj] him to strengthen: strengthen for he/she/it to inherit her [obj] Israel
39	and child your which to say to/for plunder to be and son: child your which not to know [the] day good and bad: evil they(masc.) to come (in): come there [to] and to/for them to give: give her and they(masc.) to possess: take her
40	and you(m. p.) to turn to/for you and to set out [the] wilderness [to] way: direction sea Red (Sea)
41	and to answer and to say to(wards) me to sin to/for LORD we to ascend: rise and to fight like/as all which to command us LORD God our and to gird man: anyone [obj] article/utensil battle his and be ready to/for to ascend: rise [the] mountain: hill country [to]
42	and to say LORD to(wards) me to say to/for them not to ascend: rise and not to fight for nothing I in/on/with entrails: among your and not to strike to/for face: before enemy your
43	and to speak: speak to(wards) you and not to hear: hear and to rebel [obj] lip: word LORD and to boil and to ascend: rise [the] mountain: hill country [to]
44	and to come out: come [the] Amorite [the] to dwell in/on/with mountain: hill country [the] he/she/it to/for to encounter: toward you and to pursue [obj] you like/as as which to make: do [the] bee and to crush [obj] you in/on/with Seir till Hormah
45	and to return: return and to weep to/for face: before LORD and not to hear: hear LORD in/on/with voice your and not to listen to(wards) you
46	and to dwell in/on/with Kadesh day many like/as day which to dwell
2	37
1	and to turn and to set out [the] wilderness [to] way: direction sea Red (Sea) like/as as which to speak: speak LORD to(wards) me and to turn: surround [obj] mountain: mount (Mount) Seir day many
2	and to say LORD to(wards) me to/for to say
3	many to/for you to turn: surround [obj] [the] mountain: hill country [the] this to turn to/for you north [to]
4	and [obj] [the] people to command to/for to say you(m. p.) to pass in/on/with border: area brother: compatriot your son: descendant/people Esau [the] to dwell in/on/with Seir and to fear from you and to keep: careful much
5	not to stir up in/on/with them for not to give: give to/for you from land: country/planet their till treading palm: sole foot for possession to/for Esau to give: give [obj] mountain: mount (Mount) Seir
6	food to buy grain from with them in/on/with silver: money and to eat and also water to trade from with them in/on/with silver: money and to drink
7	for LORD God your to bless you in/on/with all deed: work hand your to know to go: went you [obj] [the] wilderness [the] great: large [the] this this forty year LORD God your with you not to lack word: thing
8	and to pass from with brother: compatriot our son: descendant/people Esau [the] to dwell in/on/with Seir from way: road [the] Arabah from Elath and from Ezion-geber Ezion-geber and to turn and to pass way: direction wilderness Moab
9	and to say LORD to(wards) me to(wards) to provoke [obj] Moab and not to stir up in/on/with them battle for not to give: give to/for you from land: country/planet his possession for to/for son: descendant/people Lot to give: give [obj] Ar possession
10	[the] Emim to/for face: before to dwell in/on/with her people great: large and many and to exalt like/as Anakite
11	Rephaim to devise: think also they(masc.) like/as Anakite and [the] Moabite to call: call by to/for them Emim
12	and in/on/with Seir to dwell [the] Horite to/for face: before and son: descendant/people Esau to possess: take them and to destroy them from face: before their and to dwell underneath: instead them like/as as which to make: do Israel to/for land: country/planet possession his which to give: give LORD to/for them
13	now to arise: rise and to pass to/for you [obj] torrent: valley Zered and to pass [obj] torrent: valley Zered
14	and [the] day which to go: went from Kadesh-barnea Kadesh-barnea till which to pass [obj] torrent: valley Zered thirty and eight year till to finish all [the] generation human [the] battle from entrails: among [the] camp like/as as which to swear LORD to/for them
15	and also hand: power LORD to be in/on/with them to/for to confuse them from entrails: among [the] camp till to finish they
16	and to be like/as as which to finish all human [the] battle to/for to die from entrails: among [the] people
17	and to speak: speak LORD to(wards) me to/for to say
18	you(m. s.) to pass [the] day [obj] border: boundary Moab [obj] Ar
19	and to present: come opposite son: descendant/people Ammon not to provoke them and not to stir up in/on/with them for not to give: give from land: country/planet son: descendant/people Ammon to/for you possession for to/for son: descendant/people Lot to give: give her possession
20	land: country/planet Rephaim to devise: think also he/she/it Rephaim to dwell in/on/with her to/for face: before and [the] Ammon to call: call by to/for them Zamzummin
21	people great: large and many and to exalt like/as Anakite and to destroy them LORD from face: before their and to possess: take them and to dwell underneath: instead them
22	like/as as which to make: do to/for son: descendant/people Esau [the] to dwell in/on/with Seir which to destroy [obj] [the] Horite from face: before their and to possess: take them and to dwell underneath: instead them till [the] day [the] this
23	and [the] Avvim [the] to dwell in/on/with village till Gaza Caphtorim [the] to come out: come from Caphtor to destroy them and to dwell underneath: instead them
24	to arise: rise to set out and to pass [obj] torrent: valley Arnon to see: behold! to give: give in/on/with hand: power your [obj] Sihon king Heshbon [the] Amorite and [obj] land: country/planet his to profane/begin: begin to possess: take and to stir up in/on/with him battle
25	[the] day: today [the] this to profane/begin: begin to give: put dread your and fear your upon face [the] people underneath: under all [the] heaven which to hear: hear [emph?] report your and to tremble and to twist: writh in pain from face: before your
26	and to send: depart messenger from wilderness Kedemoth to(wards) Sihon king Heshbon word peace to/for to say
27	to pass in/on/with land: country/planet your in/on/with way: journey in/on/with way: road to go: went not to turn aside: turn aside right and left
28	food in/on/with silver: money to buy grain me and to eat and water in/on/with silver: money to give: give to/for me and to drink except to pass in/on/with foot my
29	like/as as which to make: do to/for me son: descendant/people Esau [the] to dwell in/on/with Seir and [the] Moabite [the] to dwell in/on/with Ar till which to pass [obj] [the] Jordan to(wards) [the] land: country/planet which LORD God our to give: give to/for us
30	and not be willing Sihon king Heshbon to pass us in/on/with him for to harden LORD God your [obj] spirit his and to strengthen [obj] heart his because to give: give him in/on/with hand: power your like/as day: today [the] this
31	and to say LORD to(wards) me to see: behold! to profane/begin: begin to give: give to/for face: before your [obj] Sihon and [obj] land: country/planet his to profane/begin: begin to possess: take to/for to possess: take [obj] land: country/planet his
32	and to come out: come Sihon to/for to encounter: toward us he/she/it and all people his to/for battle Jahaz [to]
33	and to give: give him LORD God our to/for face: before our and to smite [obj] him and [obj] (son: child his *Q(K)*) and [obj] all people his
34	and to capture [obj] all city his in/on/with time [the] he/she/it and to devote/destroy [obj] all city man and [the] woman and [the] child not to remain survivor
35	except [the] animal to plunder to/for us and spoil [the] city which to capture
36	from Aroer which upon lip: edge torrent: valley Arnon and [the] city which in/on/with torrent: valley and till [the] Gilead not to be town which to exalt from us [obj] [the] all to give: give LORD God our to/for face of our
37	except to(wards) land: country/planet son: child Ammon not to present: come all hand: to torrent: river Jabbok and city [the] mountain: hill country and all which to command LORD God our
3	29
1	and to turn and to ascend: rise way: road [the] Bashan and to come out: come Og king [the] Bashan to/for to encounter: toward us he/she/it and all people his to/for battle Edrei
2	and to say LORD to(wards) me not to fear [obj] him for in/on/with hand: power your to give: give [obj] him and [obj] all people his and [obj] land: country/planet his and to make: do to/for him like/as as which to make: do to/for Sihon king [the] Amorite which to dwell in/on/with Heshbon
3	and to give: give LORD God our in/on/with hand: power our also [obj] Og king [the] Bashan and [obj] all people his and to smite him till lest to remain to/for him survivor
4	and to capture [obj] all city his in/on/with time [the] he/she/it not to be town which not to take: take from with them sixty city all cord Argob kingdom Og in/on/with Bashan
5	all these city to gather/restrain/fortify wall high door and bar to/for alone: besides from city [the] villager to multiply much
6	and to devote/destroy [obj] them like/as as which to make: do to/for Sihon king Heshbon to devote/destroy all city man [the] woman and [the] child
7	and all [the] animal and spoil [the] city to plunder to/for us
8	and to take: take in/on/with time [the] he/she/it [obj] [the] land: country/planet from hand: power two king [the] Amorite which in/on/with side: beyond [the] Jordan from torrent: valley Arnon till mountain: mount (Mount) Hermon
9	Sidonian to call: call by to/for (Mount) Hermon Sirion and [the] Amorite to call: call by to/for him Senir
10	all city [the] plain and all [the] Gilead and all [the] Bashan till Salecah and Edrei city kingdom Og in/on/with Bashan
11	for except Og king [the] Bashan to remain from remainder [the] Rephaim behold bed his bed iron not he/she/it in/on/with Rabbah son: descendant/people Ammon nine cubit length her and four cubit width her in/on/with cubit man
12	and [obj] [the] land: country/planet [the] this to possess: take in/on/with time [the] he/she/it from Aroer which upon torrent: valley Arnon and half mountain: hill country [the] Gilead and city his to give: give to/for Reubenite and to/for Gad
13	and remainder [the] Gilead and all [the] Bashan kingdom Og to give: give to/for half tribe [the] Manasseh all cord [the] Argob to/for all [the] Bashan [the] he/she/it to call: call by land: country/planet Rephaim
14	Jair son: descendant/people Manasseh to take: take [obj] all cord Argob till border: boundary [the] Geshurite and [the] Maacathite and to call: call by [obj] them upon name his [obj] [the] Bashan Havvoth-jair Havvoth-jair till [the] day: today [the] this
15	and to/for Machir to give: give [obj] [the] Gilead
16	and to/for Reubenite and to/for Gad to give: give from [the] Gilead and till torrent: valley Arnon midst [the] torrent: valley and border: boundary and till Jabbok [the] torrent: river border: boundary son: descendant/people Ammon
17	and [the] Arabah and [the] Jordan and border: boundary from (Sea of) Chinnereth and till sea [the] Arabah sea [the] Salt (Sea) underneath: under Slopes (of Pisgah) [the] Pisgah east [to]
18	and to command [obj] you in/on/with time [the] he/she/it to/for to say LORD God your to give: give to/for you [obj] [the] land: country/planet [the] this to/for to possess: take her to arm to pass to/for face: before brother: compatriot your son: descendant/people Israel all son: descendant/people strength
19	except woman: wife your and child your and livestock your to know for livestock many to/for you to dwell in/on/with city your which to give: give to/for you
20	till which to rest LORD to/for brother: compatriot your like/as you and to possess: take also they(masc.) [obj] [the] land: country/planet which LORD God your to give: give to/for them in/on/with side: beyond [the] Jordan and to return: return man: anyone to/for possession his which to give: give to/for you
21	and [obj] Joshua to command in/on/with time [the] he/she/it to/for to say eye your [the] to see: see [obj] all which to make: do LORD God your to/for two [the] king [the] these so to make: do LORD to/for all [the] kingdom which you(m. s.) to pass there [to]
22	not to fear them for LORD God your he/she/it [the] to fight to/for you
23	and be gracious to(wards) LORD in/on/with time [the] he/she/it to/for to say
24	Lord YHWH/God you(m. s.) to profane/begin: begin to/for to see: see [obj] servant/slave your [obj] greatness your and [obj] hand: power your [the] strong which who? God in/on/with heaven and in/on/with land: country/planet which to make: do like/as deed: work your and like/as might your
25	to pass please and to see: see [obj] [the] land: country/planet [the] pleasant which in/on/with side: beyond [the] Jordan [the] mountain: hill country [the] pleasant [the] this and [the] Lebanon
26	and be angry LORD in/on/with me because you and not to hear: hear to(wards) me and to say LORD to(wards) me many to/for you not to add: again to speak: speak to(wards) me still in/on/with word: thing [the] this
27	to ascend: rise head: top [the] Pisgah and to lift: look eye your sea: west [to] and north [to] and south [to] and east [to] and to see: see in/on/with eye your for not to pass [obj] [the] Jordan [the] this
28	and to command [obj] Joshua and to strengthen: strengthen him and to strengthen him for he/she/it to pass to/for face: before [the] people [the] this and he/she/it to inherit [obj] them [obj] [the] land: country/planet which to see: see
29	and to dwell in/on/with valley opposite Beth-peor Beth-peor
4	49
1	and now Israel to hear: hear to(wards) [the] statute: decree and to(wards) [the] justice: judgement which I to learn: teach [obj] you to/for to make: do because to live and to come (in): come and to possess: take [obj] [the] land: country/planet which LORD God father your to give: give to/for you
2	not to add upon [the] word which I to command [obj] you and not to dimish from him to/for to keep: obey [obj] commandment LORD God your which I to command [obj] you
3	eye your [the] to see: see [obj] which to make: do LORD in/on/with Baal of Peor Baal of Peor for all [the] man which to go: follow after Baal of Peor Baal of Peor to destroy him LORD God your from entrails: among your
4	and you(m. p.) [the] cleaving in/on/with LORD God your alive all your [the] day
5	to see: behold! to learn: teach [obj] you statute: decree and justice: judgement like/as as which to command me LORD God my to/for to make: do so in/on/with entrails: among [the] land: country/planet which you(m. p.) to come (in): come there [to] to/for to possess: take her
6	and to keep: obey and to make: do for he/she/it wisdom your and understanding your to/for eye: seeing [the] people which to hear: hear [emph?] [obj] all [the] statute: decree [the] these and to say except people wise and to understand [the] nation [the] great: large [the] this
7	for who? nation great: large which to/for him God near to(wards) him like/as LORD God our in/on/with all to call: call to we to(wards) him
8	and who? nation great: large which to/for him statute: decree and justice: judgement righteous like/as all [the] instruction [the] this which I to give: put to/for face: before your [the] day
9	except to keep: careful to/for you and to keep: obey soul your much lest to forget [obj] [the] word: thing which to see: see eye your and lest to turn aside: depart from heart your all day life your and to know them to/for son: child your and to/for son: child son: child your
10	day which to stand: stand to/for face: before LORD God your in/on/with Horeb in/on/with to say LORD to(wards) me to gather to/for me [obj] [the] people and to hear: hear them [obj] word my which to learn: learn [emph?] to/for to fear: revere [obj] me all [the] day which they(masc.) alive upon [the] land: planet and [obj] son: child their to learn: teach [emph?]
11	and to present: come [emph?] and to stand: stand [emph?] underneath: under [the] mountain: mount and [the] mountain: mount to burn: burn in/on/with fire till heart [the] heaven darkness cloud and cloud
12	and to speak: speak LORD to(wards) you from midst [the] fire voice: sound word you(m. p.) to hear: hear and likeness nothing you to see: see exception voice
13	and to tell to/for you [obj] covenant his which to command [obj] you to/for to make: do ten [the] word and to write them upon two tablet stone
14	and [obj] me to command LORD in/on/with time [the] he/she/it to/for to learn: teach [obj] you statute: decree and justice: judgement to/for to make: do you [obj] them in/on/with land: country/planet which you(m. p.) to pass there [to] to/for to possess: take her
15	and to keep: guard much to/for soul: myself your for not to see: see all likeness in/on/with day to speak: speak LORD to(wards) you in/on/with Horeb from midst [the] fire
16	lest to ruin [emph?] and to make to/for you idol likeness all idol pattern male or female
17	pattern all animal which in/on/with land: country/planet pattern all bird wing which to fly in/on/with heaven
18	pattern all to creep in/on/with land: soil pattern all fish which in/on/with water from underneath: under to/for land: country/planet
