24	66	1189	461
File Name	Holy-Bible---French---Free-for-the-World---Standard-Edition.noia
14	Les peuples ont entendu. Ils tremblent. Les habitants de Philadelphie ont été frappés par les douleurs.
15	Alors les chefs d'Edom furent consternés. Le tremblement s'empare des hommes puissants de Moab. Tous les habitants de Canaan ont fondu.
16	La terreur et l'effroi s'abattent sur eux. Par la grandeur de ton bras, ils sont immobiles comme une pierre, jusqu'à ce que ton peuple passe, Yahvé, jusqu'au passage des personnes que vous avez achetées.
17	Tu les feras entrer et tu les planteras dans la montagne de ton héritage, le lieu, Yahvé, que tu t'es fait pour y habiter: le sanctuaire, Seigneur, que tes mains ont établi.
18	Yahvé régnera pour toujours et à jamais.»
19	Car les chevaux de Pharaon, avec ses chars et ses cavaliers, entrèrent dans la mer, et Yahvé ramena sur eux les eaux de la mer; mais les enfants d'Israël marchèrent à sec au milieu de la mer.
20	Miriam, la prophétesse, sœur d'Aaron, prit un tambourin dans sa main; et toutes les femmes sortirent après elle avec des tambourins et en dansant.
21	Miriam leur répondit, «Chantez à Yahvé, car il a triomphé avec gloire. Il a jeté le cheval et son cavalier dans la mer.»
22	Moïse fit partir Israël de la mer Rouge, et ils entrèrent dans le désert de Schur. Ils marchèrent trois jours dans le désert, et ne trouvèrent point d'eau.
23	Lorsqu'ils arrivèrent à Mara, ils ne purent boire des eaux de Mara, car elles étaient amères. C'est pourquoi on l'appela Mara.
24	Le peuple murmura contre Moïse, en disant: «Que boirons-nous?»
25	Moïse cria à Yahvé. Yahvé lui montra un arbre, qu'il jeta dans les eaux, et les eaux devinrent douces. Là, il établit pour eux une loi et une ordonnance, et là, il les mit à l'épreuve.
26	Il dit: «Si vous écoutez attentivement la voix de l'Éternel, votre Dieu, si vous faites ce qui est juste à ses yeux, si vous êtes attentifs à ses commandements et si vous observez toutes ses lois, je ne vous infligerai aucune des maladies que j'ai infligées aux Égyptiens, car je suis l'Éternel qui vous guérit.»
27	Ils arrivèrent à Elim, où il y avait douze sources d'eau et soixante-dix palmiers. Ils campèrent là, près des eaux.
16	36
1	Ils partirent d'Elim, et toute l'assemblée des enfants d'Israël arriva au désert de Sin, qui est entre Elim et Sinaï, le quinzième jour du second mois après leur sortie du pays d'Égypte.
2	Toute l'assemblée des enfants d'Israël murmura contre Moïse et Aaron dans le désert;
3	et les enfants d'Israël leur dirent: «Nous aurions voulu mourir par la main de Yahvé dans le pays d'Égypte, quand nous étions assis près des marmites à viande, quand nous mangions du pain à satiété, car vous nous avez fait sortir dans ce désert pour tuer toute cette assemblée par la faim.»
4	Yahvé dit à Moïse: «Voici, je ferai pleuvoir pour vous du pain du ciel, et le peuple sortira et ramassera chaque jour une portion d'un jour, afin de l'éprouver pour savoir s'il marchera ou non dans ma loi.
5	Le sixième jour, ils prépareront ce qu'ils auront apporté, et ce sera le double de ce qu'ils auront ramassé chaque jour.»
6	Moïse et Aaron dirent à tous les enfants d'Israël: «Le soir, vous saurez que Yahvé vous a fait sortir du pays d'Égypte.
7	Au matin, vous verrez la gloire de l'Éternel, car il a entendu vos murmures contre l'Éternel. Qui sommes-nous, pour que vous murmuriez contre nous?»
8	Moïse dit: «Maintenant, Yahvé vous donnera de la viande à manger le soir, et le matin du pain pour vous rassasier, parce que Yahvé entend les murmures que vous murmurez contre lui. Et nous, qui sommes-nous? Vos murmures ne sont pas contre nous, mais contre Yahvé.»
9	Moïse dit à Aaron: «Dis à toute l'assemblée des enfants d'Israël: «Approchez-vous de l'Éternel, car il a entendu vos murmures».
10	Comme Aaron parlait à toute l'assemblée des enfants d'Israël, ils regardèrent vers le désert, et voici que la gloire de Yahvé apparut dans la nuée.
11	Yahvé parla à Moïse et dit:
12	«J'ai entendu les murmures des enfants d'Israël. Parle-leur en disant: «Le soir, vous mangerez de la viande, et le matin, vous serez rassasiés de pain. Alors vous saurez que je suis Yahvé votre Dieu».
13	Le soir, les cailles montèrent et couvrirent le camp; et le matin, la rosée s'étendit autour du camp.
14	Lorsque la rosée qui s'était déposée eut disparu, voici qu'il y avait à la surface du désert une petite chose ronde, aussi petite que le givre sur le sol.
15	Lorsque les enfants d'Israël la virent, ils se dirent les uns aux autres: «Qu'est-ce que c'est?» Car ils ne savaient pas ce que c'était. Moïse leur dit: «C'est le pain que l'Éternel vous donne à manger.
16	Voici ce que l'Éternel a ordonné: «Recueillez-en chacun selon ce qu'il mange: un omer par tête, selon le nombre de vos personnes, vous en prendrez chacun pour ceux qui sont dans sa tente.»
17	Les enfants d'Israël firent ainsi; les uns en recueillirent davantage, les autres moins.
18	Quand ils mesurèrent avec un omer, celui qui avait beaucoup ramassé ne manqua de rien, et celui qui avait peu ramassé ne manqua de rien. Chacun ramassait selon ce qu'il mangeait.
19	Moïse leur dit: «Que personne n'en laisse jusqu'au matin.»
20	Mais ils n'écoutèrent pas Moïse, et quelques-uns d'entre eux en laissèrent jusqu'au matin, de sorte qu'il y eut des vers et que le produit devint fétide; Moïse fut irrité contre eux.
21	Ils le ramassèrent matin par matin, chacun selon sa consommation. Lorsque le soleil se mit à chauffer, elle fondit.
22	Le sixième jour, ils ramassèrent deux fois plus de pain, deux omers pour chacun. Tous les chefs de l'assemblée vinrent en parler à Moïse.
23	Celui-ci leur dit: «Voici ce qu'a dit l'Éternel: Demain est un repos solennel, un sabbat consacré à l'Éternel. Faites cuire ce que vous voulez faire cuire, faites bouillir ce que vous voulez faire bouillir, et tout ce qui restera vous sera réservé pour être gardé jusqu'au matin.
24	Ils le conservèrent jusqu'au matin, comme Moïse l'avait ordonné, et il ne devint pas infecte, et il n'y avait pas de vers dedans.
25	Moïse dit: «Mangez-en aujourd'hui, car aujourd'hui est un jour de sabbat pour l'Éternel. Aujourd'hui, vous ne la trouverez pas dans les champs.
26	Pendant six jours, vous le ramasserez, mais le septième jour est le sabbat. Il n'y en aura point.»
27	Le septième jour, une partie du peuple sortit pour ramasser, mais ils ne trouvèrent rien.
28	Yahvé dit à Moïse: «Jusques à quand refuserez-vous d'observer mes commandements et mes lois?
29	Voici, parce que Yahvé vous a donné le sabbat, il vous donne le sixième jour le pain de deux jours. Que chacun reste à sa place. Que personne ne sorte de sa place le septième jour.»
30	Le peuple se reposa donc le septième jour.
31	La maison d'Israël l'appela «Manne». Elle était semblable à de la graine de coriandre, de couleur blanche, et son goût était semblable à celui des galettes au miel.
32	Moïse dit: «Voici ce que Yahvé a ordonné: qu'on en garde un omer plein pour vos descendants, afin qu'ils voient le pain dont je vous ai nourris dans le désert, quand je vous ai fait sortir du pays d'Égypte».
33	Moïse dit à Aaron: «Prends un pot, mets-y un omer plein de manne et dépose-le devant l'Éternel, pour qu'il soit conservé par vos générations.»
34	Comme l'Éternel l'avait ordonné à Moïse, Aaron la déposa devant le Témoignage, pour qu'elle soit conservée.
35	Les enfants d'Israël mangèrent la manne pendant quarante ans, jusqu'à leur arrivée dans un pays habité. Ils mangèrent la manne jusqu'à ce qu'ils arrivent aux frontières du pays de Canaan.
36	Or, un omer, c'est le dixième d'un épha.
17	16
1	Toute la congrégation des enfants d'Israël partit du désert de Sin, selon l'ordre de l'Éternel, et campa à Rephidim; mais il n'y avait pas d'eau à boire pour le peuple.
2	Le peuple se querella avec Moïse, et dit: «Donne-nous de l'eau à boire.» Moïse leur dit: «Pourquoi vous disputez-vous avec moi? Pourquoi mettez-vous Yahvé à l'épreuve?»
3	Le peuple avait soif d'eau à cet endroit; alors le peuple murmura contre Moïse et dit: «Pourquoi nous as-tu fait sortir d'Égypte, pour nous faire mourir de soif, nous, nos enfants et notre bétail?»
4	Moïse cria à Yahvé en disant: «Que dois-je faire de ce peuple? Ils sont presque prêts à me lapider.»
5	Yahvé dit à Moïse: «Avance devant le peuple, prends avec toi les anciens d'Israël, prends dans ta main le bâton avec lequel tu as frappé le Nil, et pars.
6	Voici, je me tiendrai devant toi, là, sur le rocher de l'Horeb. Tu frapperas le rocher, et il en sortira de l'eau que le peuple pourra boire.» Moïse fit ainsi, sous les yeux des anciens d'Israël.
7	Il donna à ce lieu le nom de Massa et de Meriba, parce que les enfants d'Israël se disputaient et qu'ils mettaient Yahvé à l'épreuve, en disant: «Yahvé est-il au milieu de nous, ou non?»
8	Amalek vint combattre Israël à Rephidim.
9	Moïse dit à Josué: «Choisis des hommes pour nous, et va combattre Amalek. Demain, je me tiendrai sur le sommet de la colline, la verge de Dieu dans ma main.»
10	Josué fit ce que Moïse lui avait dit et combattit Amalek. Moïse, Aaron et Hur montèrent au sommet de la colline.
11	Lorsque Moïse leva la main, Israël l'emporta. Quand il baissa la main, Amalek l'emporta.
12	Mais les mains de Moïse étaient lourdes; on prit donc une pierre, on la mit sous lui, et il s'assit dessus. Aaron et Hur soutenaient ses mains, l'un d'un côté, l'autre de l'autre. Ses mains restèrent stables jusqu'au coucher du soleil.
13	Josué vainquit Amalek et son peuple au fil de l'épée.
14	Yahvé dit à Moïse: «Ecris ceci dans un livre, comme souvenir, et répète-le aux oreilles de Josué: j'effacerai la mémoire d'Amalek de dessous le ciel.»
15	Moïse bâtit un autel et l'appela «Yahvé notre bannière».
16	Il dit: «L'Éternel l'a juré: l'Éternel fera la guerre à Amalek de génération en génération.»
18	27
1	Jéthro, sacrificateur de Madian, beau-père de Moïse, apprit tout ce que Dieu avait fait pour Moïse et pour Israël, son peuple, comment Yahvé avait fait sortir Israël d'Égypte.
2	Jéthro, beau-père de Moïse, reçut Zippora, la femme de Moïse, après qu'il l'eut renvoyée,
3	et ses deux fils. Le nom de l'un des fils était Gershom, car Moïse avait dit: «J'ai vécu comme un étranger dans un pays étranger».
4	Le nom de l'autre était Eliezer, car il disait: «Le Dieu de mon père m'a secouru et m'a délivré de l'épée de Pharaon».
5	Jéthro, beau-père de Moïse, vint avec les fils de Moïse et sa femme auprès de Moïse dans le désert où il campait, à la montagne de Dieu.
6	Il dit à Moïse: «Moi, Jéthro, ton beau-père, je suis venu vers toi avec ta femme, et ses deux fils avec elle.»
7	Moïse sortit à la rencontre de son beau-père, se prosterna et l'embrassa. Ils s'informèrent mutuellement de leur bien-être, puis ils entrèrent dans la tente.
8	Moïse raconta à son beau-père tout ce que Yahvé avait fait à Pharaon et aux Égyptiens à cause d'Israël, toutes les épreuves qui les avaient frappés en chemin, et comment Yahvé les avait délivrés.
9	Jéthro se réjouit de tout le bien que Yahvé avait fait à Israël, en le délivrant de la main des Égyptiens.
10	Jéthro dit: «Béni soit Yahvé, qui vous a délivrés de la main des Égyptiens et de la main de Pharaon, qui a délivré le peuple de la main des Égyptiens.
11	Je sais maintenant que Yahvé est plus grand que tous les dieux, à cause de la manière dont ils ont traité le peuple avec arrogance.»
12	Jéthro, le beau-père de Moïse, prit un holocauste et des sacrifices pour Dieu. Aaron vint avec tous les anciens d'Israël, pour manger le pain avec le beau-père de Moïse devant Dieu.
13	Le lendemain, Moïse s'assit pour juger le peuple, et le peuple se tint autour de Moïse du matin au soir.
14	Lorsque le beau-père de Moïse vit tout ce qu'il faisait au peuple, il dit: «Qu'est-ce que c'est que cette chose que tu fais pour le peuple? Pourquoi t'assieds-tu seul, alors que tout le peuple se tient autour de toi du matin au soir?».
15	Moïse dit à son beau-père: «Parce que le peuple vient à moi pour consulter Dieu.
16	Quand ils ont une affaire, ils viennent à moi, et je juge entre un homme et son prochain, et je leur fais connaître les statuts de Dieu et ses lois.»
17	Le beau-père de Moïse lui dit: «La chose que tu fais n'est pas bonne.
18	Tu vas certainement t'épuiser, toi et ce peuple qui est avec toi, car la chose est trop lourde pour toi. Tu n'es pas capable de l'accomplir tout seul.
19	Écoute maintenant ma voix. Je te donnerai un conseil, et que Dieu soit avec toi. Tu représentes le peuple devant Dieu, et tu portes les causes devant Dieu.
20	Tu leur enseigneras les statuts et les lois, tu leur montreras la voie dans laquelle ils doivent marcher et le travail qu'ils doivent faire.
21	Tu trouveras dans tout le peuple des hommes capables, qui craignent Dieu, des hommes de vérité, qui haïssent les gains injustes, et tu les placeras à leur tête, comme chefs de milliers, chefs de centaines, chefs de cinquantaines et chefs de dizaines.
22	Qu'ils jugent le peuple en tout temps. Ils t'apporteront toute grande affaire, mais ils jugeront eux-mêmes toute petite affaire. Cela vous facilitera la tâche, et ils partageront le fardeau avec vous.
23	Si tu fais cela, et que Dieu te l'ordonne, tu pourras supporter, et tous ces gens-là aussi iront en paix à leur place.»
24	Moïse écouta la voix de son beau-père et fit tout ce qu'il avait dit.
25	Moïse choisit des hommes capables parmi tout Israël, et il les établit chefs du peuple, chefs de milliers, chefs de centaines, chefs de cinquièmes et chefs de dizaines.
26	Ils jugeaient le peuple en tout temps. Ils apportaient à Moïse les affaires difficiles, mais ils jugeaient eux-mêmes toutes les petites affaires.
27	Moïse laissa partir son beau-père, qui s'en alla dans son pays.
19	25
1	Le troisième mois après que les enfants d'Israël furent sortis du pays d'Égypte, ils arrivèrent ce même jour dans le désert de Sinaï.
2	Ils partirent de Rephidim, et arrivèrent au désert de Sinaï; ils campèrent dans le désert, et là, Israël campa devant la montagne.
3	Moïse monta vers Dieu, et Yahvé l'appela de la montagne, en disant: «Voici ce que tu diras à la maison de Jacob et aux enfants d'Israël:
4	Vous avez vu ce que j'ai fait aux Égyptiens, et comment je vous ai portés sur des ailes d'aigle et amenés vers moi.
5	Maintenant, si vous écoutez ma voix et si vous gardez mon alliance, vous serez ma propriété entre tous les peuples, car toute la terre est à moi,
6	et vous serez pour moi un royaume de prêtres et une nation sainte». Telles sont les paroles que tu adresseras aux enfants d'Israël.»
7	Moïse vint appeler les anciens du peuple, et il exposa devant eux toutes ces paroles que l'Éternel lui avait commandées.
8	Tout le peuple prit la parole et dit: «Nous ferons tout ce que l'Éternel a dit.» Moïse rapporta à Yahvé les paroles du peuple.
9	Yahvé dit à Moïse: «Voici que je viens à toi dans une épaisse nuée, afin que le peuple entende quand je te parlerai, et qu'il te croie toujours.» Moïse rapporta à Yahvé les paroles du peuple.
10	Yahvé dit à Moïse: «Va vers le peuple, sanctifie-le aujourd'hui et demain, fais-lui laver ses vêtements,
11	et tiens-toi prêt pour le troisième jour, car le troisième jour, Yahvé descendra sur la montagne de Sinaï aux yeux de tout le peuple.
12	Tu fixeras des limites au peuple tout autour, en disant: «Prenez garde de ne pas monter sur la montagne et de ne pas toucher son bord. Celui qui touchera la montagne sera puni de mort.
13	Aucune main ne le touchera, mais il sera lapidé ou transpercé de balles, qu'il s'agisse d'un animal ou d'un homme, il ne vivra pas. Lorsque la trompette sonnera longuement, ils monteront sur la montagne.»
14	Moïse descendit de la montagne vers le peuple et sanctifia le peuple, qui lava ses vêtements.
15	Il dit au peuple: «Soyez prêts le troisième jour. N'ayez pas de relations sexuelles avec une femme.»
16	Le troisième jour, comme c'était le matin, il y eut des tonnerres et des éclairs, une épaisse nuée sur la montagne, et le son d'une trompette extrêmement forte; et tout le peuple qui était dans le camp trembla.
17	Moïse conduisit le peuple hors du camp à la rencontre de Dieu, et ils se tinrent au bas de la montagne.
18	Toute la montagne de Sinaï fumait, car Yahvé y était descendu en feu; sa fumée montait comme la fumée d'une fournaise, et toute la montagne tremblait fortement.
19	Le son de la trompette devenant de plus en plus fort, Moïse parla, et Dieu lui répondit par une voix.
20	Yahvé descendit sur le mont Sinaï, au sommet de la montagne. Yahvé appela Moïse au sommet de la montagne, et Moïse y monta.
21	L'Éternel dit à Moïse: «Descends, avertis le peuple, de peur qu'il ne s'introduise auprès de l'Éternel pour le regarder, et que beaucoup d'entre eux ne périssent.
22	Que les prêtres aussi, qui s'approchent de l'Éternel, se sanctifient, de peur que l'Éternel ne fasse irruption sur eux.»
23	Moïse dit à Yahvé: «Le peuple ne peut pas monter sur le mont Sinaï, car tu nous as prévenus en disant: «Entourez la montagne et sanctifiez-la.»
24	Yahvé lui dit: «Descends! Tu feras monter Aaron avec toi, mais ne laisse pas les prêtres et le peuple passer pour monter vers Yahvé, de peur qu'il ne se déchaîne contre eux.»
25	Moïse descendit donc vers le peuple, et lui dit.
20	26
1	Dieu prononça toutes ces paroles, en disant:
2	«Je suis Yahvé, ton Dieu, qui t'ai fait sortir du pays d'Égypte, de la maison de servitude.
3	«Tu n'auras pas d'autres dieux devant moi.
4	«Tu ne te feras pas d'idole, ni d'image de ce qui est dans les cieux en haut, sur la terre en bas, ou dans les eaux au-dessous de la terre;
5	tu ne te prosterneras pas devant elles et tu ne les serviras pas, car moi, Yahvé ton Dieu, je suis un Dieu jaloux, qui punit l'iniquité des pères sur les enfants, sur la troisième et la quatrième génération de ceux qui me haïssent,
6	et qui fait preuve de bonté envers les milliers de ceux qui m'aiment et qui gardent mes commandements.
7	«Tu n'abuseras pas du nom de Yahvé ton Dieu, car Yahvé ne laisse pas impuni celui qui abuse de son nom.
8	«Souviens-toi du jour du sabbat, pour le sanctifier.
9	Tu travailleras six jours et tu feras tout ton ouvrage,
10	mais le septième jour est un sabbat pour Yahvé, ton Dieu. Tu ne feras aucun ouvrage, ni toi, ni ton fils, ni ta fille, ni ton serviteur, ni ta servante, ni ton bétail, ni l'étranger qui sera dans tes portes.
11	Car en six jours, Yahvé a fait le ciel et la terre, la mer et tout ce qui s'y trouve, et il s'est reposé le septième jour.
12	«Honore ton père et ta mère, afin que tes jours se prolongent dans le pays que Yahvé ton Dieu te donne.
13	«Tu ne commettras pas de meurtre.
14	«Tu ne commettras pas d'adultère.
15	«Tu ne voleras pas.
16	«Tu ne porteras pas de faux témoignage contre ton prochain.
17	«Tu ne convoiteras pas la maison de ton prochain. Tu ne convoiteras pas la femme de ton prochain, ni son serviteur, ni sa servante, ni son bœuf, ni son âne, ni rien de ce qui appartient à ton prochain.»
18	Tout le peuple perçut les tonnerres, les éclairs, le son de la trompette et la montagne fumante. Quand le peuple vit cela, il trembla et resta à distance.
19	Ils dirent à Moïse: «Parle-nous toi-même, et nous écouterons; mais ne laisse pas Dieu nous parler, de peur que nous ne mourions.»
20	Moïse dit au peuple: «N'ayez pas peur, car Dieu est venu pour vous mettre à l'épreuve, et pour que sa crainte soit devant vous, afin que vous ne péchiez pas.»
21	Le peuple resta à distance, et Moïse s'approcha de l'épaisse obscurité où se trouvait Dieu.
22	Yahvé dit à Moïse: «Voici ce que tu diras aux enfants d'Israël: «Vous avez vu vous-mêmes que je vous ai parlé depuis le ciel.
23	Vous ne vous ferez certainement pas des dieux d'argent ou des dieux d'or pour être à côté de moi.
24	Vous me ferez un autel de terre, et vous y sacrifierez vos holocaustes et vos sacrifices de prospérité, vos brebis et vos bœufs. En tout lieu où j'inscrirai mon nom, je viendrai vers vous et je vous bénirai.
25	Si tu me fais un autel de pierre, tu ne le construiras pas en pierres taillées, car si tu lèves ton outil dessus, tu le souilles.
26	Tu ne monteras pas par des marches vers mon autel, afin que ta nudité n'y soit pas exposée'.
21	36
1	«Voici les ordonnances que tu mettras devant eux:
2	«Si tu achètes un serviteur hébreu, il servira six ans, et la septième année, il sortira libre, sans rien payer.
3	S'il entre seul, il sortira seul. S'il est marié, sa femme sortira avec lui.
4	Si son maître lui donne une femme et qu'elle lui donne des fils ou des filles, la femme et ses enfants seront à son maître, et il sortira seul.
5	Mais si le serviteur dit ouvertement: «J'aime mon maître, ma femme et mes enfants. Je ne sortirai pas libre»,
6	alors son maître le conduira devant Dieu, et l'amènera à la porte ou au montant de la porte; son maître lui percera l'oreille avec un poinçon, et il le servira pour toujours.
7	«Si un homme vend sa fille pour en faire une servante, elle ne sortira pas comme les serviteurs.
8	Si elle ne plaît pas à son maître, qui l'a épousée pour lui-même, il la laissera racheter. Il n'aura pas le droit de la vendre à un peuple étranger, puisqu'il l'a trompée.
9	S'il la marie à son fils, il la traitera comme une fille.
10	S'il prend une autre femme pour lui, il ne diminuera pas sa nourriture, ses vêtements et ses droits conjugaux.
11	S'il ne fait pas ces trois choses pour elle, elle pourra être libérée sans payer d'argent.
12	«Celui qui frappe un homme au point qu'il en meure sera puni de mort,
13	mais pas si c'est involontaire et que Dieu le permette; alors je te désignerai un lieu où il pourra s'enfuir.
14	Si un homme manigance et s'approche présomptueusement de son prochain pour le tuer, tu le prendras sur mon autel, afin qu'il meure.
15	«Quiconque s'en prend à son père ou à sa mère sera puni de mort.
16	«Si quelqu'un enlève quelqu'un et le vend, ou si on le trouve dans sa main, il sera puni de mort.
17	«Quiconque maudira son père ou sa mère sera puni de mort.
18	«Si des hommes se querellent et que l'un d'eux frappe l'autre avec une pierre ou avec son poing, et qu'il ne meure pas, mais qu'il reste alité,
19	s'il se relève et se promène avec son bâton, celui qui l'a frappé sera innocenté; seulement, il paiera pour la perte de son temps et pourvoira à sa guérison jusqu'à ce qu'il soit complètement guéri.
20	«Si un homme frappe son serviteur ou sa servante avec une verge, et que celui-ci meurt sous sa main, il sera puni.
21	Mais si son serviteur se relève après un jour ou deux, il ne sera pas puni, car le serviteur est sa propriété.
22	«Si des hommes se battent et blessent une femme enceinte, de sorte qu'elle accouche prématurément, et qu'il n'en résulte aucun dommage, ils seront condamnés à une amende équivalente à celle que le mari de la femme demandera et que les juges autoriseront.
23	Mais s'il s'ensuit un malheur, il faut rendre la vie pour la vie,
24	œil pour œil, dent pour dent, main pour main, pied pour pied,
25	brûlure pour brûlure, blessure pour blessure, et meurtrissure pour meurtrissure.
26	«Si un homme frappe l'œil de son serviteur ou de sa servante et le détruit, il le laissera aller en liberté à cause de son œil.
27	S'il frappe la dent de son serviteur ou de sa servante, il laissera le serviteur libre à cause de sa dent.
28	«Si un taureau éventre un homme ou une femme, il sera lapidé, et sa viande ne sera pas mangée; mais le propriétaire du taureau ne sera pas tenu pour responsable.
29	Mais si le taureau avait l'habitude d'encorner dans le passé, que cela a été signalé à son propriétaire, que celui-ci ne l'a pas retenu et qu'il a tué un homme ou une femme, le taureau sera lapidé et son propriétaire sera également mis à mort.
30	Si une rançon lui est imposée, il donnera pour le rachat de sa vie ce qui lui est imposé.
31	Qu'il ait encorné un fils ou qu'il ait encorné une fille, c'est selon ce jugement qu'il lui sera fait.
32	Si le taureau a encorné un serviteur ou une servante, on donnera trente sicles d'argent à leur maître, et le bœuf sera lapidé.
33	«Si un homme ouvre une fosse, ou si un homme creuse une fosse sans la couvrir, et qu'un taureau ou un âne y tombe,
34	le propriétaire de la fosse devra la réparer. Il donnera de l'argent à son propriétaire, et l'animal mort lui appartiendra.
35	«Si le taureau d'un homme blesse celui d'un autre, de sorte qu'il meurt, on vendra le taureau vivant et on en partagera le prix; on partagera aussi l'animal mort.
36	Ou si l'on sait que le taureau avait l'habitude d'encorner dans le passé, et que son propriétaire ne l'a pas gardé, il paiera taureau pour taureau, et l'animal mort lui appartiendra.
22	31
1	«Si un homme vole un bœuf ou une brebis, et le tue ou le vend, il paiera cinq bœufs pour un bœuf, et quatre brebis pour une brebis.
2	Si le voleur est trouvé en train d'entrer par effraction, et qu'il soit frappé de telle sorte qu'il meure, il ne sera pas coupable d'effusion de sang pour lui.
3	Si le soleil s'est levé sur lui, il est coupable d'effusion de sang. Il devra le restituer. S'il n'a rien, il sera vendu pour son vol.
4	Si le bien volé est trouvé vivant entre ses mains, qu'il s'agisse d'un bœuf, d'un âne ou d'un mouton, il paiera le double.
5	«Si un homme fait paître un champ ou une vigne en laissant son animal en liberté, et que celui-ci paisse dans le champ d'un autre homme, il devra le restituer sur le meilleur de son champ et sur le meilleur de sa vigne.
6	«Si un feu éclate et s'accroche à des épines, de sorte que les chocs du grain, le grain sur pied ou le champ soient consumés, celui qui a allumé le feu devra le restituer.
7	«Si un homme livre à son prochain de l'argent ou des objets à garder, et qu'on les vole dans la maison de cet homme, si le voleur est trouvé, il paiera le double.
8	Si le voleur n'est pas trouvé, le maître de la maison s'approchera de Dieu, pour savoir s'il a mis la main sur les biens de son prochain.
9	Pour toute affaire de dépouillement, qu'il s'agisse d'un bœuf, d'un âne, d'un mouton, d'un vêtement, ou de toute autre chose perdue, au sujet de laquelle quelqu'un dit: «Ceci est à moi», la cause des deux parties sera portée devant Dieu. Celui que Dieu condamne devra payer le double à son prochain.
10	«Si un homme livre à son prochain un âne, un bœuf, un mouton, ou tout autre animal à garder, et qu'il meure, soit blessé, soit chassé, sans que personne ne le voie,
11	le serment de Yahvé sera entre eux deux: il n'a pas mis la main sur le bien de son prochain; son propriétaire l'acceptera, et il ne le restituera pas.
12	Mais s'il lui est volé, celui qui a volé devra le restituer à son propriétaire.
13	S'il est déchiré en morceaux, qu'il l'apporte comme preuve. Il ne restituera pas ce qui a été déchiré.
14	Si un homme emprunte un objet à son prochain, et que cet objet se blesse ou meurt sans que son propriétaire soit avec lui, il devra le restituer.
15	Si son propriétaire est avec elle, il ne la restituera pas. Si c'est un objet loué, il est venu pour son bail.
16	Si un homme séduit une vierge qui n'est pas promise au mariage et couche avec elle, il paiera une dot pour qu'elle devienne sa femme.
17	Si son père refuse catégoriquement de la lui donner, il paiera une somme d'argent correspondant à la dot des vierges.
18	«Tu ne permettras pas à une sorcière de vivre.
19	«Celui qui aura des rapports sexuels avec un animal sera puni de mort.
20	«Celui qui sacrifie à un dieu quelconque, sauf à Yahvé seul, sera anéanti.
21	«Tu ne feras pas tort à un étranger et tu ne l'opprimeras pas, car vous étiez des étrangers dans le pays d'Égypte.
22	«Vous ne profiterez d'aucune veuve ni d'aucun orphelin.
23	Si tu en profites, et qu'ils crient vers moi, j'entendrai leur cri;
24	ma colère s'enflammera, et je vous tuerai par l'épée; vos femmes seront veuves, et vos enfants orphelins.
25	«Si tu prêtes de l'argent à un pauvre de mon peuple qui est avec toi, tu ne seras pas pour lui un créancier. Tu ne lui demanderas pas d'intérêt.
26	Si tu prends en gage le vêtement de ton prochain, tu le lui rendras avant le coucher du soleil,
27	car c'est sa seule couverture, c'est son vêtement pour sa peau. Dans quoi dormira-t-il? S'il crie vers moi, j'entendrai, car je suis miséricordieux.
28	«Tu ne blasphémeras pas Dieu et tu ne maudiras pas un chef de ton peuple.
29	«Tu ne tarderas pas à offrir de ta récolte et de l'écoulement de tes presses. «Vous me donnerez le premier-né de vos fils.
30	Tu feras de même avec ton bétail et avec tes brebis. Il restera sept jours avec sa mère, puis le huitième jour, vous me le donnerez.
31	«Vous serez pour moi des hommes saints, c'est pourquoi vous ne mangerez pas de viande déchirée par les animaux dans les champs. Vous la jetterez aux chiens.
23	33
1	«Tu ne répandras pas de fausses nouvelles. Ne joins pas ta main au méchant pour être un témoin malveillant.
2	«Tu ne suivras pas une foule pour faire le mal. Tu ne témoigneras pas au tribunal pour te ranger du côté d'une multitude afin de pervertir la justice.
3	Tu ne favoriseras pas un pauvre dans sa cause.
4	«Si tu rencontres le bœuf de ton ennemi ou son âne qui s'égare, tu le ramèneras à lui.
5	Si tu vois l'âne de celui qui te hait tomber sous son fardeau, ne le laisse pas. Tu l'aideras à le porter.
6	«Tu ne refuseras pas la justice à tes pauvres gens dans leurs procès.
7	«Éloigne-toi d'une fausse accusation, et ne tue pas l'innocent et le juste, car je ne justifierai pas les méchants.
8	«Tu ne prendras pas de pot-de-vin, car le pot-de-vin aveugle les voyants et pervertit les paroles des justes.
9	«Tu n'opprimeras pas l'étranger, car tu connais le cœur de l'étranger, puisque vous étiez étrangers au pays d'Égypte.
10	«Pendant six ans, tu ensemenceras ta terre et tu en recueilleras le produit,
11	mais la septième année, tu la laisseras en repos et en jachère, afin que les pauvres de ton peuple puissent manger; et ce qu'ils laisseront, les animaux des champs le mangeront. De même, tu traiteras ta vigne et ton oliveraie de la même manière.
12	«Six jours tu feras ton travail, et le septième jour tu te reposeras, afin que ton bœuf et ton âne se reposent, et que le fils de ton serviteur et l'étranger se rafraîchissent.
13	«Prends garde de faire tout ce que je t'ai dit; n'invoque pas le nom d'autres dieux et ne les fais pas entendre de ta bouche.
14	«Vous célébrerez une fête en mon honneur trois fois par an.
